leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGCN,0,0,0,1,0,4,-4
2,EAG,0,0,0,2,1,4,-3
3,FCN,0,0,0,3,2,4,-2
4,FCN,1,0,1,3,2,4,-2
5,FCSM,2,0,2,3,3,7,-4
6,FCSM,2,0,2,4,3,9,-6
7,FCSM,2,0,2,5,4,14,-10
8,VAFC,3,1,0,7,4,14,-10
9,VAFC,4,1,1,7,5,15,-10
10,VAFC,5,1,2,7,7,17,-10
11,VAFC,5,1,2,8,7,18,-11
12,FCSM,7,1,4,7,10,22,-12
13,FCSM,7,1,4,8,11,24,-13
14,FCSM,8,1,5,8,12,25,-13
15,FCSM,8,1,5,9,13,30,-17
16,FCSM,8,1,5,10,13,32,-19
17,FCSM,8,1,5,11,13,37,-24
18,FCSM,8,1,5,12,13,38,-25
19,ACA,9,1,6,12,13,34,-21
20,ACA,9,1,6,13,14,36,-22
21,ACA,9,1,6,14,14,38,-24
22,ACA,10,1,7,14,15,39,-24
23,ACA,11,1,8,14,16,40,-24
24,ACA,14,2,8,14,19,41,-22
25,ACA,14,2,8,15,20,44,-24
26,ACA,14,2,8,16,20,46,-26
27,ACA,14,2,8,17,22,49,-27
28,ACA,15,2,9,17,24,51,-27
29,ACA,15,2,9,18,25,53,-28
30,ACA,18,3,9,18,28,55,-27
31,ACA,19,3,10,18,30,57,-27
32,ACA,19,3,10,19,31,60,-29
33,ACA,20,3,11,19,32,61,-29
34,ACA,20,3,11,20,33,63,-30
35,ACA,20,3,11,21,34,67,-33
36,ACA,20,3,11,22,34,68,-34
37,ACA,23,4,11,22,36,69,-33
38,ACA,23,4,11,23,37,72,-35
