leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,VAFC,OM,ASM,SRFC,ASSE,LOSC,SCB,TEGG,FCSM,PSG,MHSC,FCN,SDR,ACA,FCL,EAG,FCGB,TFC,OGCN
2,OL,ASM,OM,ASSE,SCB,VAFC,SDR,SRFC,LOSC,FCL,OGCN,PSG,ACA,FCSM,TEGG,FCGB,MHSC,TFC,FCN,EAG
3,OM,ASM,OL,SRFC,SDR,LOSC,ASSE,SCB,PSG,FCGB,MHSC,OGCN,VAFC,EAG,FCL,ACA,TFC,FCSM,TEGG,FCN
4,ASM,OM,ASSE,SCB,PSG,SRFC,SDR,LOSC,OL,FCL,MHSC,OGCN,TEGG,FCGB,VAFC,ACA,EAG,FCSM,TFC,FCN
5,ASM,ASSE,PSG,OM,SCB,SRFC,SDR,OGCN,OL,TEGG,LOSC,MHSC,FCL,FCN,EAG,FCGB,ACA,VAFC,TFC,FCSM
6,ASM,PSG,ASSE,OM,OGCN,SRFC,SCB,OL,LOSC,SDR,TEGG,MHSC,FCL,TFC,EAG,FCGB,FCN,ACA,VAFC,FCSM
7,ASM,PSG,OM,LOSC,SRFC,ASSE,OGCN,SCB,OL,SDR,TFC,EAG,MHSC,TEGG,FCN,FCL,ACA,FCGB,VAFC,FCSM
8,ASM,PSG,OM,LOSC,OGCN,ASSE,SRFC,SCB,OL,SDR,FCN,MHSC,TEGG,TFC,EAG,ACA,FCGB,FCL,FCSM,VAFC
9,ASM,PSG,LOSC,OM,SCB,OGCN,FCN,ASSE,MHSC,SDR,SRFC,TFC,EAG,OL,FCGB,TEGG,ACA,FCL,FCSM,VAFC
10,PSG,ASM,LOSC,OM,OGCN,FCN,ASSE,SCB,TFC,EAG,SRFC,OL,MHSC,SDR,FCGB,TEGG,ACA,FCL,FCSM,VAFC
11,PSG,ASM,LOSC,SCB,EAG,OM,ASSE,OGCN,SRFC,FCN,SDR,TFC,FCGB,OL,MHSC,TEGG,FCL,ACA,FCSM,VAFC
12,PSG,LOSC,ASM,OM,SDR,ASSE,SCB,SRFC,FCN,EAG,FCGB,OGCN,OL,TEGG,TFC,MHSC,FCL,VAFC,ACA,FCSM
13,PSG,LOSC,ASM,OM,SCB,FCN,SDR,OL,EAG,ASSE,SRFC,FCGB,OGCN,TEGG,TFC,MHSC,FCL,VAFC,ACA,FCSM
14,PSG,LOSC,ASM,OM,SCB,ASSE,FCN,OL,EAG,SDR,SRFC,FCGB,OGCN,TFC,TEGG,MHSC,FCL,VAFC,ACA,FCSM
15,PSG,LOSC,ASM,OM,SCB,ASSE,EAG,FCGB,FCN,OL,SDR,TFC,SRFC,FCL,OGCN,TEGG,MHSC,VAFC,ACA,FCSM
16,PSG,LOSC,ASM,OM,SCB,ASSE,FCGB,FCN,EAG,SDR,SRFC,OL,FCL,TFC,TEGG,OGCN,MHSC,VAFC,ACA,FCSM
17,PSG,ASM,LOSC,OM,ASSE,FCGB,FCN,SCB,SDR,EAG,OL,FCL,SRFC,TFC,TEGG,OGCN,MHSC,VAFC,ACA,FCSM
18,PSG,ASM,LOSC,ASSE,FCGB,OM,FCN,FCL,SDR,SCB,OL,TFC,EAG,SRFC,OGCN,TEGG,MHSC,VAFC,ACA,FCSM
19,PSG,ASM,LOSC,ASSE,FCGB,OM,SDR,FCL,SCB,FCN,OL,TFC,EAG,OGCN,SRFC,TEGG,MHSC,VAFC,FCSM,ACA
20,PSG,ASM,LOSC,ASSE,OM,SDR,FCGB,FCN,OL,TFC,FCL,SCB,EAG,OGCN,SRFC,TEGG,MHSC,VAFC,FCSM,ACA
