leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,VAFC,3,1,0,0,3,0,3
2,ASM,6,2,0,0,6,1,5
3,ASM,7,2,1,0,6,1,5
4,OM,9,3,0,1,7,3,4
5,ASSE,12,4,0,1,7,3,4
6,PSG,12,3,3,0,9,4,5
7,PSG,15,4,3,0,10,4,6
8,PSG,18,5,3,0,12,4,8
9,PSG,21,6,3,0,14,5,9
10,ASM,22,6,4,0,18,7,11
11,ASM,25,7,4,0,20,8,12
12,LOSC,26,8,2,2,15,4,11
13,LOSC,27,8,3,2,15,4,11
14,LOSC,30,9,3,2,16,4,12
15,LOSC,33,10,3,2,17,4,13
16,LOSC,36,11,3,2,18,4,14
17,ASM,38,11,5,1,28,11,17
18,ASM,41,12,5,1,30,11,19
19,ASM,41,12,5,2,31,13,18
20,ASM,42,12,6,2,32,14,18
21,ASM,45,13,6,2,34,14,20
22,ASM,48,14,6,2,36,14,22
23,ASM,49,14,7,2,38,16,22
24,ASM,50,14,8,2,39,17,22
25,ASM,53,15,8,2,41,17,24
26,ASM,56,16,8,2,44,19,25
27,ASM,56,16,8,3,44,21,23
28,ASM,59,17,8,3,46,22,24
29,ASM,62,18,8,3,49,24,25
30,ASM,63,18,9,3,50,25,25
31,ASM,63,18,9,4,50,26,24
32,ASM,66,19,9,4,53,27,26
33,ASM,69,20,9,4,54,27,27
34,ASM,72,21,9,4,55,27,28
35,ASM,75,22,9,4,59,28,31
36,ASM,76,22,10,4,60,29,31
37,ASM,79,23,10,4,62,30,32
38,ASM,80,23,11,4,63,31,32
