leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,VAFC,OM,AS MONACO,RENNES,ASSE,LOSC,SC BASTIA,Evian TG,FCSM,PARIS SG,MONTPELLIER,FC NANTES,REIMS,AC AJACCIO,FC LORIENT,EA GUINGAMP,BORDEAUX,TOULOUSE FC,OGC NICE
2,OL,AS MONACO,OM,ASSE,SC BASTIA,VAFC,REIMS,RENNES,LOSC,FC LORIENT,OGC NICE,PARIS SG,AC AJACCIO,FCSM,Evian TG,BORDEAUX,MONTPELLIER,TOULOUSE FC,FC NANTES,EA GUINGAMP
3,OM,AS MONACO,OL,RENNES,REIMS,LOSC,ASSE,SC BASTIA,PARIS SG,BORDEAUX,MONTPELLIER,OGC NICE,VAFC,EA GUINGAMP,FC LORIENT,AC AJACCIO,TOULOUSE FC,FCSM,Evian TG,FC NANTES
4,AS MONACO,OM,ASSE,SC BASTIA,PARIS SG,RENNES,REIMS,LOSC,OL,FC LORIENT,MONTPELLIER,OGC NICE,Evian TG,BORDEAUX,VAFC,AC AJACCIO,EA GUINGAMP,FCSM,TOULOUSE FC,FC NANTES
5,AS MONACO,ASSE,PARIS SG,OM,SC BASTIA,RENNES,REIMS,OGC NICE,OL,Evian TG,LOSC,MONTPELLIER,FC LORIENT,FC NANTES,EA GUINGAMP,BORDEAUX,AC AJACCIO,VAFC,TOULOUSE FC,FCSM
6,AS MONACO,PARIS SG,ASSE,OM,OGC NICE,RENNES,SC BASTIA,OL,LOSC,REIMS,Evian TG,MONTPELLIER,FC LORIENT,TOULOUSE FC,EA GUINGAMP,BORDEAUX,FC NANTES,AC AJACCIO,VAFC,FCSM
7,AS MONACO,PARIS SG,OM,LOSC,RENNES,ASSE,OGC NICE,SC BASTIA,OL,REIMS,TOULOUSE FC,EA GUINGAMP,MONTPELLIER,Evian TG,FC NANTES,FC LORIENT,AC AJACCIO,BORDEAUX,VAFC,FCSM
8,AS MONACO,PARIS SG,OM,LOSC,OGC NICE,ASSE,RENNES,SC BASTIA,OL,REIMS,FC NANTES,MONTPELLIER,Evian TG,TOULOUSE FC,EA GUINGAMP,AC AJACCIO,BORDEAUX,FC LORIENT,FCSM,VAFC
9,AS MONACO,PARIS SG,LOSC,OM,SC BASTIA,OGC NICE,FC NANTES,ASSE,MONTPELLIER,REIMS,RENNES,TOULOUSE FC,EA GUINGAMP,OL,BORDEAUX,Evian TG,AC AJACCIO,FC LORIENT,FCSM,VAFC
10,PARIS SG,AS MONACO,LOSC,OM,OGC NICE,FC NANTES,ASSE,SC BASTIA,TOULOUSE FC,EA GUINGAMP,RENNES,OL,MONTPELLIER,REIMS,BORDEAUX,Evian TG,AC AJACCIO,FC LORIENT,FCSM,VAFC
11,PARIS SG,AS MONACO,LOSC,SC BASTIA,EA GUINGAMP,OM,ASSE,OGC NICE,RENNES,FC NANTES,REIMS,TOULOUSE FC,BORDEAUX,OL,MONTPELLIER,Evian TG,FC LORIENT,AC AJACCIO,FCSM,VAFC
12,PARIS SG,LOSC,AS MONACO,OM,REIMS,ASSE,SC BASTIA,RENNES,FC NANTES,EA GUINGAMP,BORDEAUX,OGC NICE,OL,Evian TG,TOULOUSE FC,MONTPELLIER,FC LORIENT,VAFC,AC AJACCIO,FCSM
13,PARIS SG,LOSC,AS MONACO,OM,SC BASTIA,FC NANTES,REIMS,OL,EA GUINGAMP,ASSE,RENNES,BORDEAUX,OGC NICE,Evian TG,TOULOUSE FC,MONTPELLIER,FC LORIENT,VAFC,AC AJACCIO,FCSM
14,PARIS SG,LOSC,AS MONACO,OM,SC BASTIA,ASSE,FC NANTES,OL,EA GUINGAMP,REIMS,RENNES,BORDEAUX,OGC NICE,TOULOUSE FC,Evian TG,MONTPELLIER,FC LORIENT,VAFC,AC AJACCIO,FCSM
15,PARIS SG,LOSC,AS MONACO,OM,SC BASTIA,ASSE,EA GUINGAMP,BORDEAUX,FC NANTES,OL,REIMS,TOULOUSE FC,RENNES,FC LORIENT,OGC NICE,Evian TG,MONTPELLIER,VAFC,AC AJACCIO,FCSM
16,PARIS SG,LOSC,AS MONACO,OM,SC BASTIA,ASSE,BORDEAUX,FC NANTES,EA GUINGAMP,REIMS,RENNES,OL,FC LORIENT,TOULOUSE FC,Evian TG,OGC NICE,MONTPELLIER,VAFC,AC AJACCIO,FCSM
17,PARIS SG,AS MONACO,LOSC,OM,ASSE,BORDEAUX,FC NANTES,SC BASTIA,REIMS,EA GUINGAMP,OL,FC LORIENT,RENNES,TOULOUSE FC,Evian TG,OGC NICE,MONTPELLIER,VAFC,AC AJACCIO,FCSM
18,PARIS SG,AS MONACO,LOSC,ASSE,BORDEAUX,OM,FC NANTES,FC LORIENT,REIMS,SC BASTIA,OL,TOULOUSE FC,EA GUINGAMP,RENNES,OGC NICE,Evian TG,MONTPELLIER,VAFC,AC AJACCIO,FCSM
19,PARIS SG,AS MONACO,LOSC,ASSE,BORDEAUX,OM,REIMS,FC LORIENT,SC BASTIA,FC NANTES,OL,TOULOUSE FC,EA GUINGAMP,OGC NICE,RENNES,Evian TG,MONTPELLIER,VAFC,FCSM,AC AJACCIO
20,PARIS SG,AS MONACO,LOSC,ASSE,OM,REIMS,BORDEAUX,FC NANTES,OL,TOULOUSE FC,FC LORIENT,SC BASTIA,EA GUINGAMP,OGC NICE,RENNES,Evian TG,MONTPELLIER,VAFC,FCSM,AC AJACCIO
21,PARIS SG,AS MONACO,LOSC,ASSE,OM,REIMS,OL,BORDEAUX,FC LORIENT,SC BASTIA,FC NANTES,TOULOUSE FC,OGC NICE,EA GUINGAMP,RENNES,MONTPELLIER,Evian TG,VAFC,FCSM,AC AJACCIO
