leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,AC AJACCIO,0,0,0,1,0,1,-1
2,Evian TG,1,0,1,1,1,3,-2
3,FC LORIENT,3,1,0,2,2,4,-2
4,VAFC,3,1,0,3,3,4,-1
5,EA GUINGAMP,4,1,1,3,4,7,-3
6,EA GUINGAMP,5,1,2,3,5,8,-3
7,FC NANTES,7,2,1,4,6,7,-1
8,EA GUINGAMP,8,2,2,4,10,10,0
9,BORDEAUX,10,2,4,3,11,12,-1
10,BORDEAUX,11,2,5,3,12,13,-1
11,MONTPELLIER,12,2,6,3,14,15,-1
12,TOULOUSE FC,15,4,3,5,10,18,-8
13,TOULOUSE FC,16,4,4,5,11,19,-8
14,Evian TG,16,4,4,6,15,25,-10
15,OGC NICE,17,5,2,8,14,20,-6
16,Evian TG,19,5,4,7,17,27,-10
17,Evian TG,19,5,4,8,17,28,-11
18,OGC NICE,20,6,2,10,15,24,-9
19,RENNES,21,5,6,8,22,24,-2
20,RENNES,22,5,7,8,22,24,-2
21,RENNES,23,5,8,8,22,24,-2
22,MONTPELLIER,24,4,12,6,24,26,-2
23,RENNES,27,6,9,8,25,25,0
24,RENNES,27,6,9,9,26,28,-2
25,RENNES,28,6,10,9,28,30,-2
26,OGC NICE,31,9,4,13,23,31,-8
27,FC NANTES,31,9,4,14,23,30,-7
28,FC NANTES,32,9,5,14,25,32,-7
29,FC NANTES,33,9,6,14,25,32,-7
30,MONTPELLIER,34,6,16,8,35,36,-1
31,MONTPELLIER,35,6,17,8,35,36,-1
32,FC NANTES,37,10,7,15,28,36,-8
33,MONTPELLIER,38,7,17,9,39,40,-1
34,OGC NICE,39,11,6,17,29,39,-10
35,RENNES,40,9,13,13,41,41,0
36,OGC NICE,42,12,6,18,30,41,-11
37,EA GUINGAMP,42,11,9,17,34,41,-7
38,MONTPELLIER,42,8,18,12,45,53,-8
