leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,NÎMES,FC LORIENT,ASSE,OGC NICE,MONTPELLIER,ANGERS SCO,PARIS SG,REIMS,AS MONACO,RENNES,LOSC,FC NANTES,BORDEAUX,RC LENS,OL,DIJON FCO,FC METZ,STRASBOURG,OM,BREST
2,ASSE,OGC NICE,BORDEAUX,AS MONACO,RENNES,LOSC,FC NANTES,NÎMES,OL,MONTPELLIER,FC LORIENT,RC LENS,PARIS SG,OM,ANGERS SCO,REIMS,FC METZ,STRASBOURG,DIJON FCO,BREST
3,ASSE,RENNES,AS MONACO,LOSC,MONTPELLIER,RC LENS,OGC NICE,OM,ANGERS SCO,BORDEAUX,OL,FC NANTES,NÎMES,FC LORIENT,PARIS SG,BREST,REIMS,FC METZ,STRASBOURG,DIJON FCO
4,ASSE,RENNES,MONTPELLIER,RC LENS,LOSC,AS MONACO,OM,PARIS SG,BREST,OGC NICE,ANGERS SCO,OL,BORDEAUX,FC NANTES,NÎMES,FC LORIENT,FC METZ,STRASBOURG,REIMS,DIJON FCO
5,RENNES,LOSC,MONTPELLIER,ASSE,AS MONACO,RC LENS,PARIS SG,ANGERS SCO,OM,OGC NICE,OL,BORDEAUX,BREST,NÎMES,FC NANTES,FC LORIENT,FC METZ,STRASBOURG,REIMS,DIJON FCO
6,RENNES,LOSC,RC LENS,PARIS SG,MONTPELLIER,AS MONACO,ASSE,OGC NICE,BORDEAUX,OM,BREST,ANGERS SCO,NÎMES,OL,FC METZ,FC NANTES,FC LORIENT,STRASBOURG,REIMS,DIJON FCO
7,LOSC,PARIS SG,RENNES,OGC NICE,RC LENS,OM,MONTPELLIER,AS MONACO,OL,ASSE,ANGERS SCO,BORDEAUX,BREST,FC METZ,FC NANTES,NÎMES,FC LORIENT,STRASBOURG,REIMS,DIJON FCO
8,PARIS SG,LOSC,RENNES,OM,OGC NICE,RC LENS,OL,ANGERS SCO,BORDEAUX,FC METZ,MONTPELLIER,AS MONACO,ASSE,FC NANTES,BREST,NÎMES,FC LORIENT,STRASBOURG,REIMS,DIJON FCO
9,PARIS SG,LOSC,RENNES,OGC NICE,RC LENS,OM,OL,FC METZ,AS MONACO,MONTPELLIER,ANGERS SCO,BORDEAUX,ASSE,FC NANTES,BREST,REIMS,FC LORIENT,NÎMES,STRASBOURG,DIJON FCO
10,PARIS SG,LOSC,RENNES,OM,RC LENS,OL,AS MONACO,MONTPELLIER,OGC NICE,ANGERS SCO,FC METZ,FC NANTES,BORDEAUX,BREST,ASSE,REIMS,FC LORIENT,NÎMES,STRASBOURG,DIJON FCO
11,PARIS SG,LOSC,OM,RC LENS,OL,MONTPELLIER,AS MONACO,RENNES,OGC NICE,FC METZ,ANGERS SCO,BORDEAUX,BREST,FC NANTES,NÎMES,ASSE,REIMS,FC LORIENT,STRASBOURG,DIJON FCO
12,PARIS SG,OM,LOSC,OL,AS MONACO,MONTPELLIER,RC LENS,RENNES,ANGERS SCO,BREST,OGC NICE,FC METZ,BORDEAUX,FC NANTES,ASSE,NÎMES,REIMS,FC LORIENT,STRASBOURG,DIJON FCO
13,PARIS SG,OM,LOSC,OL,RC LENS,AS MONACO,MONTPELLIER,ANGERS SCO,RENNES,BORDEAUX,OGC NICE,BREST,FC METZ,FC NANTES,ASSE,NÎMES,STRASBOURG,REIMS,FC LORIENT,DIJON FCO
14,OM,LOSC,OL,PARIS SG,MONTPELLIER,RC LENS,AS MONACO,ANGERS SCO,RENNES,BREST,BORDEAUX,OGC NICE,FC METZ,FC NANTES,ASSE,STRASBOURG,FC LORIENT,NÎMES,REIMS,DIJON FCO
15,LOSC,PARIS SG,OL,OM,RC LENS,MONTPELLIER,RENNES,AS MONACO,ANGERS SCO,BREST,OGC NICE,FC METZ,BORDEAUX,ASSE,STRASBOURG,FC NANTES,REIMS,FC LORIENT,NÎMES,DIJON FCO
16,LOSC,OL,PARIS SG,OM,RENNES,MONTPELLIER,RC LENS,AS MONACO,ANGERS SCO,FC METZ,BREST,BORDEAUX,OGC NICE,ASSE,FC NANTES,STRASBOURG,REIMS,NÎMES,FC LORIENT,DIJON FCO
17,OL,LOSC,PARIS SG,RENNES,OM,RC LENS,AS MONACO,MONTPELLIER,ANGERS SCO,FC METZ,BREST,OGC NICE,BORDEAUX,ASSE,REIMS,FC NANTES,STRASBOURG,FC LORIENT,DIJON FCO,NÎMES
18,OL,PARIS SG,LOSC,OM,RENNES,AS MONACO,RC LENS,ANGERS SCO,MONTPELLIER,BREST,FC METZ,BORDEAUX,OGC NICE,ASSE,REIMS,STRASBOURG,FC NANTES,DIJON FCO,FC LORIENT,NÎMES
19,OL,PARIS SG,LOSC,OM,AS MONACO,RENNES,RC LENS,ANGERS SCO,MONTPELLIER,BORDEAUX,BREST,FC METZ,OGC NICE,REIMS,STRASBOURG,ASSE,FC NANTES,DIJON FCO,FC LORIENT,NÎMES
20,PARIS SG,LOSC,OL,AS MONACO,RENNES,OM,RC LENS,ANGERS SCO,BORDEAUX,FC METZ,MONTPELLIER,BREST,STRASBOURG,OGC NICE,REIMS,ASSE,FC NANTES,FC LORIENT,NÎMES,DIJON FCO
21,PARIS SG,LOSC,OL,AS MONACO,RENNES,OM,BORDEAUX,FC METZ,RC LENS,ANGERS SCO,MONTPELLIER,BREST,OGC NICE,REIMS,STRASBOURG,ASSE,FC NANTES,NÎMES,DIJON FCO,FC LORIENT
22,LOSC,OL,PARIS SG,AS MONACO,OM,RENNES,FC METZ,RC LENS,ANGERS SCO,BORDEAUX,MONTPELLIER,REIMS,OGC NICE,BREST,STRASBOURG,ASSE,FC NANTES,FC LORIENT,NÎMES,DIJON FCO
23,LOSC,OL,PARIS SG,AS MONACO,OM,RENNES,FC METZ,RC LENS,ANGERS SCO,BORDEAUX,MONTPELLIER,REIMS,BREST,OGC NICE,STRASBOURG,ASSE,FC NANTES,FC LORIENT,NÎMES,DIJON FCO
24,LOSC,OL,PARIS SG,AS MONACO,OM,RENNES,RC LENS,FC METZ,ANGERS SCO,BORDEAUX,MONTPELLIER,BREST,OGC NICE,REIMS,ASSE,STRASBOURG,FC LORIENT,FC NANTES,NÎMES,DIJON FCO
25,LOSC,PARIS SG,OL,AS MONACO,OM,RENNES,RC LENS,FC METZ,MONTPELLIER,ANGERS SCO,BORDEAUX,BREST,REIMS,OGC NICE,ASSE,STRASBOURG,FC LORIENT,FC NANTES,NÎMES,DIJON FCO
26,LOSC,OL,PARIS SG,AS MONACO,OM,RC LENS,FC METZ,RENNES,MONTPELLIER,ANGERS SCO,BORDEAUX,BREST,REIMS,ASSE,STRASBOURG,OGC NICE,NÎMES,FC NANTES,FC LORIENT,DIJON FCO
27,LOSC,PARIS SG,OL,AS MONACO,OM,FC METZ,RC LENS,MONTPELLIER,RENNES,ANGERS SCO,BORDEAUX,OGC NICE,REIMS,BREST,STRASBOURG,ASSE,FC LORIENT,NÎMES,FC NANTES,DIJON FCO
