leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,SMC,OL,ASSE,OGCN,FCL,FCN,FCGB,OM,SCB,SDR,PSG,LOSC,FCM,TFC,ASM,RCL,MHSC,SRFC,EAG,TEGG
2,FCGB,ASSE,PSG,OGCN,FCN,FCL,LOSC,SRFC,SMC,OL,MHSC,TFC,EAG,FCM,OM,SDR,SCB,RCL,ASM,TEGG
3,FCGB,ASSE,LOSC,SMC,MHSC,PSG,SRFC,FCN,OGCN,OM,SCB,FCL,OL,TFC,RCL,EAG,ASM,FCM,SDR,TEGG
4,FCGB,PSG,LOSC,OM,SRFC,FCL,FCN,ASSE,SMC,MHSC,RCL,TFC,SCB,FCM,ASM,OGCN,OL,EAG,SDR,TEGG
5,LOSC,OM,FCGB,ASSE,PSG,MHSC,SRFC,FCL,RCL,FCN,OGCN,SMC,OL,SCB,TFC,EAG,FCM,SDR,ASM,TEGG
6,OM,FCGB,ASSE,LOSC,PSG,MHSC,FCN,SRFC,FCM,SMC,FCL,OL,RCL,TFC,SDR,ASM,OGCN,SCB,EAG,TEGG
7,OM,FCGB,ASSE,PSG,LOSC,FCM,FCN,OL,MHSC,TFC,ASM,OGCN,SRFC,SMC,RCL,SCB,FCL,SDR,EAG,TEGG
8,OM,FCGB,LOSC,PSG,FCM,ASSE,MHSC,OGCN,FCN,OL,TFC,ASM,SMC,RCL,SRFC,SCB,FCL,TEGG,SDR,EAG
9,OM,FCGB,PSG,LOSC,FCN,OL,MHSC,TFC,FCM,ASSE,OGCN,SRFC,ASM,FCL,TEGG,SDR,SMC,RCL,SCB,EAG
10,OM,PSG,FCGB,OL,ASSE,FCN,FCM,LOSC,TFC,ASM,MHSC,OGCN,SRFC,SDR,FCL,SCB,TEGG,SMC,EAG,RCL
11,OM,PSG,OL,ASSE,FCN,FCGB,OGCN,ASM,SRFC,FCM,LOSC,TFC,MHSC,SDR,SMC,RCL,FCL,SCB,TEGG,EAG
12,OM,PSG,OL,FCGB,ASSE,FCN,ASM,FCM,MHSC,OGCN,SRFC,LOSC,SDR,TFC,SMC,EAG,RCL,FCL,SCB,TEGG
13,OM,PSG,OL,FCGB,FCN,ASSE,SRFC,ASM,FCM,SDR,TFC,OGCN,MHSC,LOSC,SCB,TEGG,SMC,EAG,RCL,FCL
14,OM,PSG,OL,FCN,FCGB,ASSE,SRFC,ASM,MHSC,LOSC,SDR,OGCN,FCM,TFC,SCB,SMC,FCL,TEGG,EAG,RCL
15,OM,PSG,OL,FCGB,ASSE,SRFC,FCN,SDR,MHSC,ASM,LOSC,OGCN,FCM,TFC,FCL,TEGG,SMC,RCL,SCB,EAG
16,OM,PSG,OL,ASSE,SRFC,FCGB,FCN,ASM,SDR,MHSC,TFC,LOSC,FCM,TEGG,OGCN,FCL,EAG,SMC,RCL,SCB
17,OM,PSG,OL,ASSE,FCGB,SRFC,ASM,MHSC,FCN,SDR,OGCN,LOSC,TFC,FCM,TEGG,EAG,FCL,RCL,SMC,SCB
18,OM,PSG,OL,ASSE,FCGB,ASM,SRFC,FCN,MHSC,SDR,LOSC,OGCN,EAG,FCL,TFC,FCM,TEGG,SCB,RCL,SMC
