leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,SM CAEN,OL,ASSE,OGC NICE,FC LORIENT,FC NANTES,BORDEAUX,OM,SC BASTIA,REIMS,PARIS SG,LOSC,FC METZ,TOULOUSE FC,AS MONACO,RC LENS,MONTPELLIER,RENNES,EA GUINGAMP,Evian TG
2,BORDEAUX,ASSE,PARIS SG,OGC NICE,FC NANTES,FC LORIENT,LOSC,RENNES,SM CAEN,OL,MONTPELLIER,TOULOUSE FC,EA GUINGAMP,FC METZ,OM,REIMS,SC BASTIA,RC LENS,AS MONACO,Evian TG
3,BORDEAUX,ASSE,LOSC,SM CAEN,MONTPELLIER,PARIS SG,RENNES,FC NANTES,OGC NICE,OM,SC BASTIA,FC LORIENT,OL,TOULOUSE FC,RC LENS,EA GUINGAMP,AS MONACO,FC METZ,REIMS,Evian TG
4,BORDEAUX,PARIS SG,LOSC,OM,RENNES,FC LORIENT,FC NANTES,ASSE,SM CAEN,MONTPELLIER,RC LENS,TOULOUSE FC,SC BASTIA,FC METZ,AS MONACO,OGC NICE,OL,EA GUINGAMP,REIMS,Evian TG
5,LOSC,OM,BORDEAUX,ASSE,PARIS SG,MONTPELLIER,RENNES,FC LORIENT,RC LENS,FC NANTES,OGC NICE,SM CAEN,OL,SC BASTIA,TOULOUSE FC,EA GUINGAMP,FC METZ,REIMS,AS MONACO,Evian TG
6,OM,BORDEAUX,ASSE,LOSC,PARIS SG,MONTPELLIER,FC NANTES,RENNES,FC METZ,SM CAEN,FC LORIENT,OL,RC LENS,TOULOUSE FC,REIMS,AS MONACO,OGC NICE,SC BASTIA,EA GUINGAMP,Evian TG
7,OM,BORDEAUX,ASSE,PARIS SG,LOSC,FC METZ,FC NANTES,OL,MONTPELLIER,TOULOUSE FC,AS MONACO,OGC NICE,RENNES,SM CAEN,RC LENS,SC BASTIA,FC LORIENT,REIMS,EA GUINGAMP,Evian TG
8,OM,BORDEAUX,LOSC,PARIS SG,FC METZ,ASSE,MONTPELLIER,OGC NICE,FC NANTES,OL,TOULOUSE FC,AS MONACO,SM CAEN,RC LENS,RENNES,SC BASTIA,FC LORIENT,Evian TG,REIMS,EA GUINGAMP
9,OM,BORDEAUX,PARIS SG,LOSC,FC NANTES,OL,MONTPELLIER,TOULOUSE FC,FC METZ,ASSE,OGC NICE,RENNES,AS MONACO,FC LORIENT,Evian TG,REIMS,SM CAEN,RC LENS,SC BASTIA,EA GUINGAMP
10,OM,PARIS SG,BORDEAUX,OL,ASSE,FC NANTES,FC METZ,LOSC,TOULOUSE FC,AS MONACO,MONTPELLIER,OGC NICE,RENNES,REIMS,FC LORIENT,SC BASTIA,Evian TG,SM CAEN,EA GUINGAMP,RC LENS
11,OM,PARIS SG,OL,ASSE,FC NANTES,BORDEAUX,OGC NICE,AS MONACO,RENNES,FC METZ,LOSC,TOULOUSE FC,MONTPELLIER,REIMS,SM CAEN,RC LENS,FC LORIENT,SC BASTIA,Evian TG,EA GUINGAMP
12,OM,PARIS SG,OL,BORDEAUX,ASSE,FC NANTES,AS MONACO,FC METZ,MONTPELLIER,OGC NICE,RENNES,LOSC,REIMS,TOULOUSE FC,SM CAEN,EA GUINGAMP,RC LENS,FC LORIENT,SC BASTIA,Evian TG
13,OM,PARIS SG,OL,BORDEAUX,FC NANTES,ASSE,RENNES,AS MONACO,FC METZ,REIMS,TOULOUSE FC,OGC NICE,MONTPELLIER,LOSC,SC BASTIA,Evian TG,SM CAEN,EA GUINGAMP,RC LENS,FC LORIENT
14,OM,PARIS SG,OL,FC NANTES,BORDEAUX,ASSE,RENNES,AS MONACO,MONTPELLIER,LOSC,REIMS,OGC NICE,FC METZ,TOULOUSE FC,SC BASTIA,SM CAEN,FC LORIENT,Evian TG,EA GUINGAMP,RC LENS
15,OM,PARIS SG,OL,BORDEAUX,ASSE,RENNES,FC NANTES,REIMS,MONTPELLIER,AS MONACO,LOSC,OGC NICE,FC METZ,TOULOUSE FC,FC LORIENT,Evian TG,SM CAEN,RC LENS,SC BASTIA,EA GUINGAMP
16,OM,PARIS SG,OL,ASSE,RENNES,BORDEAUX,FC NANTES,AS MONACO,REIMS,MONTPELLIER,TOULOUSE FC,LOSC,FC METZ,Evian TG,OGC NICE,FC LORIENT,EA GUINGAMP,SM CAEN,RC LENS,SC BASTIA
17,OM,PARIS SG,OL,ASSE,BORDEAUX,RENNES,AS MONACO,MONTPELLIER,FC NANTES,REIMS,OGC NICE,LOSC,TOULOUSE FC,FC METZ,Evian TG,EA GUINGAMP,FC LORIENT,RC LENS,SM CAEN,SC BASTIA
18,OM,PARIS SG,OL,ASSE,BORDEAUX,AS MONACO,RENNES,FC NANTES,MONTPELLIER,REIMS,LOSC,OGC NICE,EA GUINGAMP,FC LORIENT,TOULOUSE FC,FC METZ,Evian TG,SC BASTIA,RC LENS,SM CAEN
