leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SDR,1,0,1,0,2,2,0
2,OL,3,1,0,1,3,2,1
3,OM,4,1,1,1,4,5,-1
4,MHSC,6,2,0,2,4,2,2
5,FCN,7,2,1,2,3,4,-1
6,SMC,7,2,1,3,8,6,2
7,TFC,10,3,1,3,11,10,1
8,OL,11,3,2,3,12,8,4
9,ASSE,14,4,2,3,9,10,-1
10,ASM,14,4,2,4,10,11,-1
11,FCM,15,4,3,4,10,10,0
12,OGCN,17,5,2,5,17,18,-1
13,SDR,18,5,3,5,14,21,-7
14,LOSC,19,5,4,5,10,12,-2
15,ASM,20,5,5,5,17,18,-1
16,MHSC,21,6,3,7,14,16,-2
17,SDR,22,6,4,7,19,27,-8
18,SDR,25,7,4,7,22,29,-7
19,MHSC,26,7,5,7,21,19,2
20,SDR,28,8,4,8,26,32,-6
21,OGCN,28,8,4,9,26,28,-2
22,SRFC,30,8,6,8,23,29,-6
23,SRFC,30,8,6,9,23,30,-7
24,EAG,32,10,2,12,28,36,-8
25,FCN,33,8,9,8,20,25,-5
26,SCB,33,8,9,9,28,28,0
27,SRFC,35,9,8,10,27,34,-7
28,SCB,36,9,9,10,30,31,-1
29,EAG,38,12,2,15,32,41,-9
30,EAG,39,12,3,15,32,41,-9
31,FCN,40,10,10,11,25,32,-7
32,OGCN,41,11,8,13,36,39,-3
33,FCN,43,11,10,12,26,33,-7
34,FCN,44,11,11,12,27,34,-7
35,EAG,46,14,4,17,38,46,-8
36,SCB,46,12,10,14,36,42,-6
37,EAG,49,15,4,18,40,53,-13
38,EAG,49,15,4,19,41,55,-14
