leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGC NICE,3,1,0,0,3,2,1
2,OGC NICE,4,1,1,0,3,2,1
3,SM CAEN,6,2,0,1,5,1,4
4,OM,7,2,1,1,8,5,3
5,ASSE,10,3,1,1,6,6,0
6,LOSC,12,3,3,0,6,1,5
7,PARIS SG,13,3,4,0,13,4,9
8,PARIS SG,14,3,5,0,14,5,9
9,LOSC,15,4,3,2,7,5,2
10,OL,17,5,2,3,20,9,11
11,ASSE,20,6,2,3,11,10,1
12,BORDEAUX,21,6,3,3,18,14,4
13,BORDEAUX,24,7,3,3,20,15,5
14,FC NANTES,24,6,6,2,13,9,4
15,BORDEAUX,27,8,3,4,22,18,4
16,ASSE,29,8,5,3,18,12,6
17,ASSE,32,9,5,3,19,12,7
18,ASSE,33,9,6,3,19,12,7
19,ASSE,36,10,6,3,22,12,10
20,PARIS SG,38,10,8,2,34,17,17
21,ASSE,40,11,7,3,24,13,11
22,ASSE,40,11,7,4,24,14,10
23,ASSE,40,11,7,5,24,15,9
24,ASSE,41,11,8,5,27,18,9
25,ASSE,41,11,8,6,27,19,8
26,AS MONACO,44,12,8,6,26,19,7
27,AS MONACO,45,12,9,6,26,19,7
28,AS MONACO,48,13,9,6,29,20,9
29,AS MONACO,51,14,9,6,32,20,12
30,AS MONACO,54,15,9,6,35,21,14
31,AS MONACO,55,15,10,6,36,22,14
32,OM,57,17,6,9,62,35,27
33,OM,57,17,6,10,62,36,26
34,ASSE,60,16,12,6,42,27,15
35,OM,60,18,6,11,67,41,26
36,OM,63,19,6,11,69,42,27
37,OM,66,20,6,11,73,42,31
38,OM,69,21,6,11,76,42,34
