leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASSE,3,1,0,0,2,0,2
2,PARIS SG,4,1,1,0,4,2,2
3,LOSC,7,2,1,0,3,0,3
4,LOSC,8,2,2,0,4,1,3
5,BORDEAUX,10,3,1,1,10,5,5
6,ASSE,13,4,1,1,7,6,1
7,ASSE,14,4,2,1,8,7,1
8,LOSC,15,4,3,1,7,2,5
9,PARIS SG,15,3,6,0,15,6,9
10,BORDEAUX,18,5,3,2,16,10,6
11,OL,20,6,2,3,21,9,12
12,OL,23,7,2,3,24,10,14
13,OL,26,8,2,3,27,11,16
14,OL,27,8,3,3,27,11,16
15,OL,27,8,3,4,27,14,13
16,OL,30,9,3,4,29,15,14
17,OL,33,10,3,4,32,17,15
18,OL,36,11,3,4,35,17,18
19,PARIS SG,38,10,8,1,32,13,19
20,ASSE,39,11,6,3,24,13,11
21,PARIS SG,41,11,8,2,38,19,19
22,PARIS SG,44,12,8,2,39,19,20
23,PARIS SG,47,13,8,2,40,19,21
24,PARIS SG,48,13,9,2,41,20,21
25,PARIS SG,49,13,10,2,43,22,21
26,OM,50,15,5,6,48,27,21
27,OM,50,15,5,7,50,30,20
28,OM,53,16,5,7,56,31,25
29,OM,54,16,6,7,56,31,25
30,OM,57,17,6,7,60,31,29
31,OM,57,17,6,8,62,34,28
32,AS MONACO,58,16,10,6,39,22,17
33,AS MONACO,59,16,11,6,40,23,17
34,AS MONACO,62,17,11,6,43,23,20
35,AS MONACO,65,18,11,6,47,24,23
36,AS MONACO,65,18,11,7,48,26,22
37,AS MONACO,68,19,11,7,50,26,24
38,AS MONACO,71,20,11,7,51,26,25
