leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,RENNES,0,0,0,1,0,2,-2
2,RC LENS,0,0,0,2,0,2,-2
3,FC METZ,2,0,2,1,1,3,-2
4,EA GUINGAMP,3,1,0,3,1,7,-6
5,REIMS,4,1,1,3,7,11,-4
6,SC BASTIA,6,1,3,2,7,10,-3
7,REIMS,7,2,1,4,8,16,-8
8,Evian TG,7,2,1,5,8,16,-8
9,RC LENS,8,2,2,5,7,10,-3
10,SM CAEN,9,2,3,5,10,11,-1
11,SC BASTIA,10,2,4,5,9,16,-7
12,FC LORIENT,10,3,1,8,10,16,-6
13,EA GUINGAMP,12,4,0,9,10,24,-14
14,Evian TG,13,4,1,9,12,23,-11
15,RC LENS,14,4,2,9,14,18,-4
16,SM CAEN,14,3,5,8,19,25,-6
17,RC LENS,15,4,3,10,15,21,-6
18,SC BASTIA,17,4,5,9,15,22,-7
19,Evian TG,19,6,1,12,20,33,-13
20,Evian TG,20,6,2,12,21,34,-13
21,Evian TG,20,6,2,13,23,38,-15
22,SM CAEN,21,5,6,11,30,35,-5
23,Evian TG,23,7,2,14,24,39,-15
24,Evian TG,23,7,2,15,24,40,-16
25,Evian TG,26,8,2,15,26,40,-14
26,TOULOUSE FC,28,8,4,14,27,40,-13
27,TOULOUSE FC,29,8,5,14,28,41,-13
28,TOULOUSE FC,29,8,5,15,29,47,-18
29,TOULOUSE FC,29,8,5,16,29,48,-19
30,TOULOUSE FC,32,9,5,16,31,49,-18
31,TOULOUSE FC,32,9,5,17,33,52,-19
32,TOULOUSE FC,35,10,5,17,34,52,-18
33,FC LORIENT,35,10,5,18,34,45,-11
34,Evian TG,37,11,4,19,36,52,-16
35,Evian TG,37,11,4,20,36,54,-18
36,Evian TG,37,11,4,21,38,57,-19
37,Evian TG,37,11,4,22,39,59,-20
38,Evian TG,37,11,4,23,41,62,-21
