leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,0,0,0,1,0,1,-1
2,OL,0,0,0,2,1,3,-2
3,PSG,3,1,0,2,1,4,-3
4,PSG,4,1,1,2,1,4,-3
5,PSG,5,1,2,2,4,5,-1
6,PSG,5,1,2,3,9,10,-1
7,PSG,6,1,3,3,11,12,-1
8,PSG,8,2,2,4,9,15,-6
9,PSG,9,3,0,6,7,11,-4
10,PSG,10,3,1,6,13,16,-3
11,PSG,12,3,3,5,14,20,-6
12,PSG,13,2,7,3,16,19,-3
13,PSG,15,4,3,6,14,22,-8
14,PSG,15,4,3,7,14,23,-9
15,PSG,16,4,4,7,14,22,-8
16,PSG,18,5,3,8,16,21,-5
17,PSG,20,5,5,7,17,27,-10
18,PSG,20,5,5,8,22,27,-5
19,PSG,20,5,5,9,22,29,-7
20,PSG,22,6,4,10,18,30,-12
21,PSG,22,4,10,7,25,31,-6
22,PSG,24,7,3,12,22,31,-9
23,PSG,25,7,4,12,20,25,-5
24,PSG,26,7,5,12,22,32,-10
25,PSG,26,7,5,13,22,33,-11
26,PSG,28,8,4,14,24,34,-10
27,PSG,29,8,5,14,23,30,-7
28,PSG,31,8,7,13,32,49,-17
29,PSG,31,8,7,14,33,52,-19
30,PSG,32,8,8,14,35,54,-19
31,PSG,34,9,7,15,26,34,-8
32,PSG,35,10,5,17,23,42,-19
33,PSG,36,10,6,17,23,42,-19
34,PSG,37,10,7,17,24,43,-19
35,PSG,37,10,7,18,25,46,-21
36,PSG,37,10,7,19,26,48,-22
37,PSG,38,10,8,19,41,62,-21
38,PSG,38,9,11,18,44,67,-23
