leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,7,3,4
3,PSG,9,3,0,0,5,0,5
4,PSG,9,3,0,1,5,3,2
5,PSG,11,3,2,0,11,5,6
6,PSG,13,4,1,1,7,4,3
7,PSG,15,4,3,0,13,7,6
8,PSG,16,5,1,2,15,12,3
9,PSG,17,5,2,2,13,9,4
10,PSG,20,6,2,2,9,7,2
11,PSG,22,6,4,1,27,15,12
12,PSG,25,7,4,1,32,15,17
13,PSG,26,7,5,1,32,15,17
14,PSG,29,9,2,3,36,15,21
15,PSG,29,8,5,2,38,17,21
16,PSG,32,10,2,4,37,16,21
17,PSG,35,11,2,4,40,18,22
18,PSG,38,11,5,2,44,19,25
19,PSG,41,12,5,2,46,20,26
20,PSG,42,12,6,2,47,21,26
21,PSG,44,13,5,3,43,22,21
22,PSG,47,14,5,3,45,22,23
23,PSG,48,14,6,3,47,24,23
24,PSG,50,15,5,4,56,26,30
25,PSG,52,15,7,3,55,29,26
26,PSG,55,16,7,3,56,29,27
27,PSG,55,16,7,4,56,32,24
28,PSG,56,16,8,4,57,33,24
29,PSG,59,17,8,4,59,34,25
30,PSG,59,17,8,5,61,37,24
31,PSG,62,18,8,5,64,38,26
32,PSG,63,18,9,5,69,36,33
33,PSG,66,19,9,5,72,36,36
34,PSG,69,20,9,5,77,38,39
35,PSG,71,21,8,6,79,44,35
36,PSG,74,22,8,6,81,45,36
37,PSG,75,22,9,6,84,41,43
38,PSG,78,23,9,6,87,43,44
