leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,RENNES,1,0,1,0,1,1,0
2,MONTPELLIER,3,1,0,1,1,1,0
3,OGC NICE,3,1,0,2,3,3,0
4,TROYES,4,1,1,2,4,5,-1
5,OGC NICE,6,2,0,3,7,6,1
6,ANGERS SCO,7,1,4,1,7,6,1
7,ANGERS SCO,8,1,5,1,9,8,1
8,EA GUINGAMP,10,3,1,4,9,12,-3
9,MONTPELLIER,12,3,3,3,7,6,1
10,EA GUINGAMP,13,4,1,5,12,14,-2
11,EA GUINGAMP,14,4,2,5,13,15,-2
12,TROYES,15,4,3,5,12,15,-3
13,RENNES,15,4,3,6,15,17,-2
14,TROYES,18,5,3,6,16,18,-2
15,ASSE,19,5,4,6,16,23,-7
16,BORDEAUX,20,5,5,6,22,23,-1
17,AMIENS SC,21,6,3,8,16,19,-3
18,MONTPELLIER,23,5,8,5,15,13,2
19,STRASBOURG,24,6,6,7,24,31,-7
20,STRASBOURG,24,6,6,8,24,33,-9
21,DIJON FCO,25,7,4,10,29,42,-13
22,SM CAEN,27,8,3,11,14,24,-10
23,DIJON FCO,28,8,4,11,33,46,-13
24,SM CAEN,30,9,3,12,18,28,-10
25,DIJON FCO,32,9,5,11,36,48,-12
26,ASSE,33,9,6,11,27,40,-13
27,DIJON FCO,35,10,5,12,38,52,-14
28,EA GUINGAMP,35,9,8,11,28,38,-10
29,ASSE,36,9,9,11,31,44,-13
30,BORDEAUX,37,10,7,13,33,39,-6
31,DIJON FCO,38,10,8,13,44,60,-16
32,DIJON FCO,41,11,8,13,45,60,-15
33,EA GUINGAMP,42,11,9,13,38,48,-10
34,BORDEAUX,43,12,7,15,39,44,-5
35,EA GUINGAMP,46,12,10,13,43,51,-8
36,EA GUINGAMP,46,12,10,14,44,54,-10
37,EA GUINGAMP,47,12,11,14,47,57,-10
38,DIJON FCO,48,13,9,16,55,73,-18
