leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,BORDEAUX,1,0,1,0,2,2,0
2,TOULOUSE FC,3,1,0,1,3,3,0
3,MONTPELLIER,4,1,1,1,2,2,0
4,EA GUINGAMP,6,2,0,2,5,6,-1
5,TOULOUSE FC,7,2,1,2,8,11,-3
6,SM CAEN,9,3,0,3,5,4,1
7,OGC NICE,10,3,1,3,10,8,2
8,TROYES,11,3,2,3,7,7,0
9,EA GUINGAMP,13,4,1,4,11,12,-1
10,SM CAEN,15,5,0,5,7,8,-1
11,MONTPELLIER,15,4,3,4,8,7,1
12,BORDEAUX,16,4,4,4,16,18,-2
13,BORDEAUX,17,4,5,4,17,19,-2
14,RENNES,18,5,3,6,17,18,-1
15,AMIENS SC,21,6,3,6,15,15,0
16,AMIENS SC,21,6,3,7,15,17,-2
17,SM CAEN,23,7,2,8,11,18,-7
18,DIJON FCO,24,7,3,8,27,31,-4
19,RENNES,25,7,4,8,24,26,-2
20,DIJON FCO,25,7,4,9,29,34,-5
21,RENNES,28,8,4,9,26,30,-4
22,EA GUINGAMP,29,8,5,9,24,29,-5
23,BORDEAUX,29,8,5,10,27,32,-5
24,EA GUINGAMP,32,9,5,10,25,32,-7
25,OGC NICE,34,10,4,11,31,37,-6
26,OGC NICE,35,10,5,11,32,38,-6
27,OGC NICE,36,10,6,11,32,38,-6
28,BORDEAUX,36,10,6,12,33,37,-4
29,BORDEAUX,37,10,7,12,33,37,-4
30,ASSE,39,10,9,11,33,44,-11
31,ASSE,42,11,9,11,36,44,-8
32,ASSE,43,11,10,11,37,45,-8
33,FC NANTES,45,12,9,12,32,36,-4
34,FC NANTES,46,12,10,12,33,37,-4
35,BORDEAUX,46,13,7,15,42,45,-3
36,BORDEAUX,49,14,7,15,45,46,-1
37,MONTPELLIER,50,11,17,9,35,32,3
38,FC NANTES,52,14,10,14,36,41,-5
