leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SCB,1,0,1,0,1,1,0
2,VAFC,2,0,2,0,1,1,0
3,RAF,4,1,1,1,2,5,-3
4,SCB,5,1,2,1,4,4,0
5,QRM,7,2,1,2,7,7,0
6,CNFC,8,2,2,2,4,4,0
7,QRM,10,3,1,3,9,9,0
8,QRM,11,3,2,3,9,9,0
9,SMC,11,3,2,4,9,8,1
10,RAF,13,3,4,3,10,12,-2
11,NO,14,3,5,3,14,12,2
12,GF38,15,4,3,5,12,16,-4
13,RAF,16,4,4,5,13,15,-2
14,GF38,18,5,3,6,14,18,-4
15,EAG,18,4,6,5,18,20,-2
16,NO,20,5,5,6,19,20,-1
17,GF38,21,6,3,8,16,21,-5
18,QRM,23,6,5,7,18,23,-5
19,QRM,24,6,6,7,20,25,-5
20,EAG,25,6,7,7,24,28,-4
21,DFCO,26,8,2,11,27,29,-2
22,RAF,28,7,7,8,20,23,-3
23,DFCO,29,9,2,12,29,33,-4
24,ASC,29,6,11,7,30,23,7
25,ASC,30,6,12,7,31,24,7
26,ASC,33,7,12,7,34,24,10
27,ASC,33,7,12,8,35,26,9
28,CNFC,35,10,5,13,28,30,-2
29,ASC,36,8,12,9,36,32,4
30,EAG,39,9,12,9,33,37,-4
31,ASC,40,9,13,9,39,33,6
32,ASC,41,9,14,9,39,33,6
33,DFCO,42,12,6,15,37,42,-5
34,DFCO,42,12,6,15,37,42,-5
