leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,EAG,1,0,1,0,0,0,0
2,QRM,1,0,1,0,1,1,0
3,PAUFC,3,1,0,2,2,3,-1
4,RAF,5,1,2,1,2,5,-3
5,EAG,6,1,3,1,3,4,-1
6,EAG,7,1,4,1,4,5,-1
7,CNFC,8,2,2,3,4,8,-4
8,EAG,10,2,4,2,5,7,-2
9,EAG,10,2,4,3,6,9,-3
10,VAFC,12,3,3,4,8,13,-5
11,EAG,14,3,5,3,10,12,-2
12,NO,14,3,5,4,14,14,0
13,DFCO,16,5,1,7,14,19,-5
14,USLD,16,4,4,6,14,17,-3
15,NO,17,4,5,6,17,19,-2
16,VAFC,19,5,4,7,13,22,-9
17,QRM,20,5,5,7,16,22,-6
18,SMC,21,5,6,7,20,19,1
19,DFCO,23,7,2,10,24,27,-3
20,SCB,23,5,8,7,19,19,0
21,QRM,25,6,7,8,21,29,-8
22,ASC,25,5,10,7,26,21,5
23,EAG,27,6,9,8,25,32,-7
24,DFCO,29,9,2,13,29,34,-5
25,RAF,30,7,9,9,21,26,-5
26,DFCO,30,9,3,14,30,36,-6
27,SMC,32,8,8,11,33,30,3
28,DFCO,34,10,4,14,31,36,-5
29,CNFC,36,10,6,13,29,31,-2
30,ASC,37,8,13,9,37,33,4
31,NO,39,11,6,14,35,41,-6
32,NO,40,11,7,14,35,41,-6
33,NO,40,11,7,15,36,44,-8
34,PAUFC,42,12,6,16,34,43,-9
35,PAUFC,42,12,6,16,34,43,-9
