leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PFC,SMC,FCSM,AJA,PAUFC,ACA,TFC,NO,QRM,USLD,SCB,HAC,EAG,CNFC,VAFC,ASNL,ASC,DFCO,GF38,RAF
2,PFC,SMC,AJA,TFC,ACA,HAC,NO,FCSM,PAUFC,RAF,VAFC,EAG,QRM,SCB,USLD,CNFC,DFCO,ASC,ASNL,GF38
3,PFC,TFC,NO,AJA,SMC,FCSM,ACA,QRM,HAC,CNFC,RAF,EAG,PAUFC,SCB,VAFC,USLD,DFCO,ASNL,GF38,ASC
4,PFC,TFC,FCSM,NO,AJA,QRM,CNFC,SMC,ACA,HAC,SCB,VAFC,RAF,PAUFC,EAG,ASC,USLD,DFCO,ASNL,GF38
5,TFC,NO,ACA,PFC,FCSM,SMC,AJA,HAC,RAF,PAUFC,QRM,CNFC,EAG,SCB,VAFC,ASC,GF38,USLD,DFCO,ASNL
6,TFC,PFC,FCSM,NO,ACA,AJA,SMC,PAUFC,HAC,RAF,CNFC,QRM,EAG,SCB,ASC,VAFC,GF38,USLD,DFCO,ASNL
7,TFC,ACA,AJA,PFC,PAUFC,FCSM,NO,RAF,SMC,HAC,QRM,EAG,CNFC,GF38,SCB,ASC,VAFC,DFCO,USLD,ASNL
8,TFC,ACA,FCSM,AJA,PAUFC,NO,PFC,RAF,SMC,HAC,QRM,CNFC,EAG,SCB,DFCO,GF38,ASC,VAFC,USLD,ASNL
9,TFC,ACA,FCSM,AJA,PFC,PAUFC,HAC,NO,RAF,CNFC,SMC,QRM,EAG,DFCO,GF38,VAFC,ASC,SCB,USLD,ASNL
10,TFC,FCSM,AJA,ACA,HAC,PFC,PAUFC,CNFC,SMC,NO,RAF,QRM,VAFC,EAG,GF38,SCB,DFCO,ASC,USLD,ASNL
11,TFC,FCSM,AJA,HAC,ACA,PFC,PAUFC,QRM,CNFC,VAFC,NO,SMC,EAG,GF38,RAF,SCB,DFCO,ASC,USLD,ASNL
12,TFC,FCSM,ACA,HAC,AJA,CNFC,PAUFC,PFC,SMC,QRM,GF38,VAFC,NO,EAG,RAF,DFCO,USLD,SCB,ASC,ASNL
13,TFC,FCSM,ACA,HAC,AJA,PFC,CNFC,PAUFC,EAG,SMC,RAF,QRM,DFCO,GF38,VAFC,NO,USLD,ASC,SCB,ASNL
14,TFC,FCSM,AJA,ACA,HAC,PFC,CNFC,PAUFC,RAF,EAG,GF38,SMC,USLD,DFCO,QRM,VAFC,NO,ASC,SCB,ASNL
15,TFC,AJA,ACA,FCSM,HAC,PFC,CNFC,PAUFC,GF38,RAF,EAG,SMC,NO,QRM,USLD,DFCO,VAFC,SCB,ASC,ASNL
16,TFC,ACA,AJA,FCSM,PFC,HAC,PAUFC,RAF,CNFC,GF38,NO,DFCO,VAFC,SCB,EAG,SMC,QRM,USLD,ASC,ASNL
17,TFC,ACA,FCSM,AJA,PFC,HAC,RAF,PAUFC,CNFC,EAG,GF38,NO,QRM,VAFC,DFCO,ASC,SMC,SCB,USLD,ASNL
18,ACA,TFC,AJA,PFC,FCSM,HAC,RAF,CNFC,PAUFC,NO,QRM,ASC,SMC,EAG,GF38,DFCO,VAFC,SCB,USLD,ASNL
19,ACA,TFC,PFC,AJA,FCSM,HAC,CNFC,RAF,EAG,PAUFC,QRM,NO,DFCO,SMC,ASC,GF38,VAFC,SCB,USLD,ASNL
20,ACA,TFC,PFC,AJA,FCSM,HAC,CNFC,PAUFC,RAF,NO,EAG,QRM,SCB,DFCO,SMC,VAFC,ASC,GF38,USLD,ASNL
