leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PARIS FC,SM CAEN,FCSM,AJ AUXERRE,PAU FC,AC AJACCIO,TOULOUSE FC,NÎMES,QRM,USL DUNKERQUE,SC BASTIA,HAVRE AC,EA GUINGAMP,NIORT,VAFC,NANCY,AMIENS SC,DIJON FCO,GRENOBLE,RODEZ AF
2,PARIS FC,SM CAEN,AJ AUXERRE,TOULOUSE FC,AC AJACCIO,HAVRE AC,NÎMES,FCSM,PAU FC,RODEZ AF,VAFC,EA GUINGAMP,QRM,SC BASTIA,USL DUNKERQUE,NIORT,DIJON FCO,AMIENS SC,NANCY,GRENOBLE
3,PARIS FC,TOULOUSE FC,NÎMES,AJ AUXERRE,SM CAEN,FCSM,AC AJACCIO,QRM,HAVRE AC,NIORT,RODEZ AF,EA GUINGAMP,PAU FC,SC BASTIA,VAFC,USL DUNKERQUE,DIJON FCO,NANCY,GRENOBLE,AMIENS SC
4,PARIS FC,TOULOUSE FC,FCSM,NÎMES,AJ AUXERRE,QRM,NIORT,SM CAEN,AC AJACCIO,HAVRE AC,SC BASTIA,VAFC,RODEZ AF,PAU FC,EA GUINGAMP,AMIENS SC,USL DUNKERQUE,DIJON FCO,NANCY,GRENOBLE
5,TOULOUSE FC,NÎMES,AC AJACCIO,PARIS FC,FCSM,SM CAEN,AJ AUXERRE,HAVRE AC,RODEZ AF,PAU FC,QRM,NIORT,EA GUINGAMP,SC BASTIA,VAFC,AMIENS SC,GRENOBLE,USL DUNKERQUE,DIJON FCO,NANCY
6,TOULOUSE FC,PARIS FC,FCSM,NÎMES,AC AJACCIO,AJ AUXERRE,SM CAEN,PAU FC,HAVRE AC,RODEZ AF,NIORT,QRM,EA GUINGAMP,SC BASTIA,AMIENS SC,VAFC,GRENOBLE,USL DUNKERQUE,DIJON FCO,NANCY
7,TOULOUSE FC,AC AJACCIO,AJ AUXERRE,PARIS FC,PAU FC,FCSM,NÎMES,RODEZ AF,SM CAEN,HAVRE AC,QRM,EA GUINGAMP,NIORT,GRENOBLE,SC BASTIA,AMIENS SC,VAFC,DIJON FCO,USL DUNKERQUE,NANCY
8,TOULOUSE FC,AC AJACCIO,FCSM,AJ AUXERRE,PAU FC,NÎMES,PARIS FC,RODEZ AF,SM CAEN,HAVRE AC,QRM,NIORT,EA GUINGAMP,SC BASTIA,DIJON FCO,GRENOBLE,AMIENS SC,VAFC,USL DUNKERQUE,NANCY
9,TOULOUSE FC,AC AJACCIO,FCSM,AJ AUXERRE,PARIS FC,PAU FC,HAVRE AC,NÎMES,RODEZ AF,NIORT,SM CAEN,QRM,EA GUINGAMP,DIJON FCO,GRENOBLE,VAFC,AMIENS SC,SC BASTIA,USL DUNKERQUE,NANCY
10,TOULOUSE FC,FCSM,AJ AUXERRE,AC AJACCIO,HAVRE AC,PARIS FC,PAU FC,NIORT,SM CAEN,NÎMES,RODEZ AF,QRM,VAFC,EA GUINGAMP,GRENOBLE,SC BASTIA,DIJON FCO,AMIENS SC,USL DUNKERQUE,NANCY
11,TOULOUSE FC,FCSM,AJ AUXERRE,HAVRE AC,AC AJACCIO,PARIS FC,PAU FC,QRM,NIORT,VAFC,NÎMES,SM CAEN,EA GUINGAMP,GRENOBLE,RODEZ AF,SC BASTIA,DIJON FCO,AMIENS SC,USL DUNKERQUE,NANCY
12,TOULOUSE FC,FCSM,AC AJACCIO,HAVRE AC,AJ AUXERRE,NIORT,PAU FC,PARIS FC,SM CAEN,QRM,GRENOBLE,VAFC,NÎMES,EA GUINGAMP,RODEZ AF,DIJON FCO,USL DUNKERQUE,SC BASTIA,AMIENS SC,NANCY
13,TOULOUSE FC,FCSM,AC AJACCIO,HAVRE AC,AJ AUXERRE,PARIS FC,NIORT,PAU FC,EA GUINGAMP,SM CAEN,RODEZ AF,QRM,DIJON FCO,GRENOBLE,VAFC,NÎMES,USL DUNKERQUE,AMIENS SC,SC BASTIA,NANCY
14,TOULOUSE FC,FCSM,AJ AUXERRE,AC AJACCIO,HAVRE AC,PARIS FC,NIORT,PAU FC,RODEZ AF,EA GUINGAMP,GRENOBLE,SM CAEN,USL DUNKERQUE,DIJON FCO,QRM,VAFC,NÎMES,AMIENS SC,SC BASTIA,NANCY
15,TOULOUSE FC,AJ AUXERRE,AC AJACCIO,FCSM,HAVRE AC,PARIS FC,NIORT,PAU FC,GRENOBLE,RODEZ AF,EA GUINGAMP,SM CAEN,NÎMES,QRM,USL DUNKERQUE,DIJON FCO,VAFC,SC BASTIA,AMIENS SC,NANCY
16,TOULOUSE FC,AC AJACCIO,AJ AUXERRE,FCSM,PARIS FC,HAVRE AC,PAU FC,RODEZ AF,NIORT,GRENOBLE,NÎMES,DIJON FCO,VAFC,SC BASTIA,EA GUINGAMP,SM CAEN,QRM,USL DUNKERQUE,AMIENS SC,NANCY
17,TOULOUSE FC,AC AJACCIO,FCSM,AJ AUXERRE,PARIS FC,HAVRE AC,RODEZ AF,PAU FC,NIORT,EA GUINGAMP,GRENOBLE,NÎMES,QRM,VAFC,DIJON FCO,AMIENS SC,SM CAEN,SC BASTIA,USL DUNKERQUE,NANCY
18,AC AJACCIO,TOULOUSE FC,AJ AUXERRE,PARIS FC,FCSM,HAVRE AC,RODEZ AF,NIORT,PAU FC,NÎMES,QRM,AMIENS SC,SM CAEN,EA GUINGAMP,GRENOBLE,DIJON FCO,VAFC,SC BASTIA,USL DUNKERQUE,NANCY
19,AC AJACCIO,TOULOUSE FC,PARIS FC,AJ AUXERRE,FCSM,HAVRE AC,NIORT,RODEZ AF,EA GUINGAMP,PAU FC,QRM,NÎMES,DIJON FCO,SM CAEN,AMIENS SC,GRENOBLE,VAFC,SC BASTIA,USL DUNKERQUE,NANCY
20,AC AJACCIO,TOULOUSE FC,PARIS FC,AJ AUXERRE,FCSM,HAVRE AC,NIORT,PAU FC,RODEZ AF,NÎMES,EA GUINGAMP,QRM,SC BASTIA,DIJON FCO,SM CAEN,VAFC,AMIENS SC,GRENOBLE,USL DUNKERQUE,NANCY
21,AC AJACCIO,TOULOUSE FC,FCSM,PARIS FC,AJ AUXERRE,NIORT,HAVRE AC,NÎMES,PAU FC,RODEZ AF,DIJON FCO,EA GUINGAMP,QRM,SC BASTIA,AMIENS SC,SM CAEN,GRENOBLE,VAFC,USL DUNKERQUE,NANCY
22,TOULOUSE FC,AC AJACCIO,PARIS FC,FCSM,AJ AUXERRE,NIORT,HAVRE AC,NÎMES,DIJON FCO,PAU FC,RODEZ AF,EA GUINGAMP,AMIENS SC,SM CAEN,VAFC,QRM,SC BASTIA,GRENOBLE,USL DUNKERQUE,NANCY
23,TOULOUSE FC,PARIS FC,AC AJACCIO,FCSM,AJ AUXERRE,HAVRE AC,NIORT,NÎMES,PAU FC,RODEZ AF,DIJON FCO,QRM,EA GUINGAMP,AMIENS SC,SM CAEN,VAFC,SC BASTIA,GRENOBLE,USL DUNKERQUE,NANCY
24,TOULOUSE FC,PARIS FC,FCSM,AC AJACCIO,AJ AUXERRE,HAVRE AC,NIORT,NÎMES,PAU FC,EA GUINGAMP,AMIENS SC,SM CAEN,DIJON FCO,RODEZ AF,SC BASTIA,QRM,VAFC,GRENOBLE,USL DUNKERQUE,NANCY
25,TOULOUSE FC,PARIS FC,AC AJACCIO,FCSM,AJ AUXERRE,NIORT,NÎMES,HAVRE AC,PAU FC,EA GUINGAMP,AMIENS SC,DIJON FCO,RODEZ AF,SM CAEN,SC BASTIA,QRM,VAFC,GRENOBLE,USL DUNKERQUE,NANCY
26,TOULOUSE FC,PARIS FC,AC AJACCIO,AJ AUXERRE,FCSM,HAVRE AC,NIORT,PAU FC,NÎMES,EA GUINGAMP,AMIENS SC,SM CAEN,DIJON FCO,RODEZ AF,VAFC,SC BASTIA,QRM,USL DUNKERQUE,GRENOBLE,NANCY
27,TOULOUSE FC,PARIS FC,AC AJACCIO,AJ AUXERRE,FCSM,HAVRE AC,PAU FC,NÎMES,NIORT,EA GUINGAMP,AMIENS SC,DIJON FCO,SM CAEN,VAFC,SC BASTIA,RODEZ AF,QRM,GRENOBLE,USL DUNKERQUE,NANCY
28,TOULOUSE FC,PARIS FC,AJ AUXERRE,AC AJACCIO,FCSM,HAVRE AC,NÎMES,PAU FC,AMIENS SC,SM CAEN,NIORT,EA GUINGAMP,DIJON FCO,SC BASTIA,VAFC,RODEZ AF,USL DUNKERQUE,QRM,GRENOBLE,NANCY
29,TOULOUSE FC,PARIS FC,AJ AUXERRE,AC AJACCIO,FCSM,HAVRE AC,NÎMES,PAU FC,DIJON FCO,SM CAEN,AMIENS SC,SC BASTIA,NIORT,EA GUINGAMP,VAFC,RODEZ AF,GRENOBLE,QRM,USL DUNKERQUE,NANCY
30,TOULOUSE FC,PARIS FC,AC AJACCIO,AJ AUXERRE,FCSM,HAVRE AC,SM CAEN,NIORT,PAU FC,NÎMES,EA GUINGAMP,DIJON FCO,AMIENS SC,SC BASTIA,VAFC,GRENOBLE,RODEZ AF,QRM,USL DUNKERQUE,NANCY
31,TOULOUSE FC,AC AJACCIO,PARIS FC,AJ AUXERRE,FCSM,SM CAEN,EA GUINGAMP,PAU FC,DIJON FCO,HAVRE AC,AMIENS SC,NIORT,NÎMES,SC BASTIA,VAFC,RODEZ AF,GRENOBLE,QRM,USL DUNKERQUE,NANCY
32,TOULOUSE FC,AC AJACCIO,AJ AUXERRE,PARIS FC,FCSM,SM CAEN,HAVRE AC,DIJON FCO,PAU FC,EA GUINGAMP,AMIENS SC,NIORT,NÎMES,SC BASTIA,VAFC,QRM,RODEZ AF,GRENOBLE,USL DUNKERQUE,NANCY
33,TOULOUSE FC,AC AJACCIO,AJ AUXERRE,PARIS FC,FCSM,HAVRE AC,SM CAEN,EA GUINGAMP,NIORT,AMIENS SC,DIJON FCO,PAU FC,NÎMES,SC BASTIA,VAFC,GRENOBLE,QRM,RODEZ AF,USL DUNKERQUE,NANCY
34,TOULOUSE FC,AC AJACCIO,AJ AUXERRE,PARIS FC,FCSM,HAVRE AC,SM CAEN,EA GUINGAMP,NIORT,AMIENS SC,DIJON FCO,PAU FC,NÎMES,SC BASTIA,VAFC,GRENOBLE,QRM,RODEZ AF,USL DUNKERQUE,NANCY
