leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,TOULOUSE FC,1,0,1,0,2,2,0
2,NÎMES,4,1,1,0,3,2,1
3,AC AJACCIO,5,1,2,0,5,3,2
4,NIORT,7,2,1,1,3,2,1
5,AJ AUXERRE,8,2,2,1,7,4,3
6,SM CAEN,10,3,1,2,7,4,3
7,NÎMES,12,3,3,1,9,4,5
8,PARIS FC,13,4,1,3,10,7,3
9,HAVRE AC,14,3,5,1,8,5,3
10,PAU FC,15,4,3,3,12,9,3
11,PAU FC,15,4,3,4,12,11,1
12,PAU FC,18,5,3,4,13,11,2
13,NIORT,18,5,3,5,13,12,1
14,NIORT,21,6,3,5,15,13,2
15,NIORT,21,6,3,6,16,16,0
16,PAU FC,24,7,3,6,17,16,1
17,RODEZ AF,25,7,4,6,19,16,3
18,RODEZ AF,26,7,5,6,20,17,3
19,NIORT,28,8,4,7,23,21,2
20,NIORT,31,9,4,7,25,21,4
21,HAVRE AC,33,8,9,4,22,16,6
22,HAVRE AC,34,8,10,4,22,16,6
23,NIORT,35,10,5,7,27,21,6
24,NIORT,35,10,5,9,28,25,3
25,NÎMES,35,10,5,10,32,32,0
26,NIORT,35,10,5,11,28,27,1
27,PAU FC,38,11,5,11,29,30,-1
28,NÎMES,39,11,6,11,34,36,-2
29,NÎMES,39,11,6,12,35,38,-3
30,SM CAEN,39,10,9,11,42,34,8
31,EA GUINGAMP,42,10,12,9,35,37,-2
32,HAVRE AC,44,11,11,10,32,34,-2
33,SM CAEN,46,12,10,11,47,36,11
34,EA GUINGAMP,48,12,12,10,42,42,0
35,EA GUINGAMP,49,12,13,10,45,45,0
36,HAVRE AC,50,13,11,12,36,37,-1
37,HAVRE AC,50,13,11,12,36,37,-1
