id,date,hour,leagueMatchNb,idHome,homeTeam,idAway,awayTeam,h_score,a_score,h_possession,h_duelsWon,h_aerialDuelsWon,h_interceptions,h_offPlays,h_corners,h_passes,h_longPasses,h_succeededPasses,h_succeededPassesOppositeSide,h_centers,h_succeededCenters,h_shots,h_targetedShots,h_counteredShots,h_extSurfaceShots,h_intSurfaceShots,h_precisionShots,h_tackles,h_succeededTackles,h_clears,h_concededFaults,h_yellowCards,h_redCards,a_possession,a_duelsWon,a_aerialDuelsWon,a_interceptions,a_offPlays,a_corners,a_passes,a_longPasses,a_succeededPasses,a_succeededPassesOppositeSide,a_centers,a_succeededCenters,a_shots,a_targetedShots,a_counteredShots,a_extSurfaceShots,a_intSurfaceShots,a_precisionShots,a_tackles,a_succeededTackles,a_clears,a_concededFaults,a_yellowCards,a_redCards
69304,20210731,1900,2,1,PFC,10,USLD,2,1,57.6,47.3,46.4,10,2,9,474,65,82.5,65.3,21,33.3,12,7,2,4,8,58.3,10,40.0,12,14,0,0,42.4,52.7,53.6,12,0,3,347,65,75.2,52.1,17,11.8,8,2,3,4,4,25.0,16,43.8,13,18,1,0
69306,20210731,1900,2,20,RAF,5,PAUFC,1,0,36.7,53.0,54.3,10,0,5,257,71,68.1,54.5,23,13.0,8,5,0,3,5,62.5,16,62.5,15,9,0,1,63.3,47.0,45.7,9,2,3,462,62,81.4,70.5,16,25.0,6,2,0,3,3,33.3,18,66.7,17,12,2,1
69307,20210731,1900,2,3,FCSM,12,HAC,0,2,66.5,56.3,64.3,6,3,8,607,70,83.7,68.7,42,11.9,12,3,3,7,5,25.0,22,54.5,4,8,3,0,33.5,43.8,35.7,9,0,3,319,66,69.0,60.8,4,25.0,10,4,2,6,4,40.0,21,57.1,32,9,0,0
69299,20210802,2045,2,4,AJA,19,GF38,3,0,58.2,45.2,29.2,9,4,1,632,66,87.5,74.6,12,8.3,15,5,2,7,8,33.3,11,72.7,10,11,0,0,41.8,54.8,70.8,12,6,3,442,51,85.5,74.4,17,23.5,7,1,1,2,5,14.3,10,60.0,17,6,1,0
69305,20210818,1900,2,9,QRM,11,SCB,1,2,45.7,50.4,37.9,11,1,5,375,52,76.0,56.3,16,6.3,14,3,8,10,4,21.4,21,42.9,10,14,2,0,54.3,49.6,62.1,18,0,4,457,68,79.2,64.3,12,25.0,9,6,1,2,7,66.7,16,68.8,13,14,2,0
69311,20210807,1500,3,2,SMC,3,FCSM,1,2,48.7,44.5,48.6,9,0,3,383,57,79.9,66.5,17,11.8,15,5,6,7,8,33.3,14,42.9,18,13,0,1,51.3,55.5,51.4,11,1,7,406,53,80.5,67.9,19,31.6,17,7,3,10,7,41.2,21,61.9,26,10,1,0
69308,20210807,1900,3,17,ASC,9,QRM,1,3,64.6,48.8,69.2,13,1,6,491,75,77.2,64.5,28,25.0,11,3,3,6,5,27.3,17,47.1,11,18,0,0,35.4,51.2,30.8,13,2,1,276,71,59.4,49.3,3,33.3,11,5,2,2,9,45.5,30,36.7,23,15,2,1
69309,20210807,1900,3,4,AJA,6,ACA,0,0,68.9,50.0,54.1,8,4,6,560,108,82.0,62.5,27,11.1,8,2,3,4,4,25.0,14,71.4,6,13,3,0,31.1,50.0,45.9,11,3,2,255,61,61.2,42.1,10,20.0,5,1,0,0,5,20.0,18,50.0,28,13,4,0
69312,20210807,1900,3,18,DFCO,20,RAF,1,1,53.9,48.7,66.7,15,2,2,473,71,83.3,69.1,8,0.0,7,4,2,4,3,57.1,12,50.0,11,9,3,0,46.1,51.3,33.3,13,0,4,385,67,80.3,69.0,30,30.0,13,2,4,7,6,15.4,24,50.0,10,15,1,0
69313,20210807,1900,3,10,USLD,14,CNFC,1,2,61.4,51.6,54.4,13,4,5,438,77,74.2,58.1,28,28.6,9,2,2,2,7,22.2,14,57.1,12,12,1,0,38.6,48.4,45.6,13,4,4,285,73,55.8,40.7,7,42.9,4,3,0,0,4,75.0,17,76.5,16,15,0,0
