leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PAU FC,3,1,0,0,2,1,1
2,AC AJACCIO,4,1,1,0,5,3,2
3,SM CAEN,6,2,0,1,6,2,4
4,AJ AUXERRE,8,2,2,0,6,2,4
5,FCSM,10,3,1,1,6,4,2
6,AC AJACCIO,12,3,3,0,9,4,5
7,PAU FC,13,4,1,2,8,4,4
8,PAU FC,14,4,2,2,9,5,4
9,PARIS FC,16,5,1,3,12,7,5
10,HAVRE AC,17,4,5,1,9,5,4
11,AC AJACCIO,19,5,4,2,12,7,5
12,AJ AUXERRE,20,5,5,2,18,13,5
13,AJ AUXERRE,23,6,5,2,19,13,6
14,HAVRE AC,24,6,6,2,14,8,6
15,HAVRE AC,25,6,7,2,14,8,6
16,PARIS FC,27,8,3,5,19,15,4
17,PARIS FC,30,9,3,5,20,15,5
18,FCSM,32,9,5,4,19,15,4
19,FCSM,33,9,6,4,20,16,4
20,FCSM,36,10,6,4,21,16,5
21,AJ AUXERRE,37,10,7,4,33,23,10
22,AJ AUXERRE,37,10,7,5,34,25,9
23,AJ AUXERRE,38,10,8,5,35,26,9
24,AJ AUXERRE,39,10,9,5,36,27,9
