leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PAUFC,3,1,0,0,2,1,1
2,ACA,4,1,1,0,5,3,2
3,SMC,6,2,0,1,6,2,4
4,AJA,8,2,2,0,6,2,4
5,FCSM,10,3,1,1,6,4,2
6,ACA,12,3,3,0,9,4,5
7,PAUFC,13,4,1,2,8,4,4
8,PAUFC,14,4,2,2,9,5,4
9,PFC,16,5,1,3,12,7,5
10,HAC,17,4,5,1,9,5,4
11,ACA,19,5,4,2,12,7,5
12,AJA,20,5,5,2,18,13,5
13,AJA,23,6,5,2,19,13,6
14,HAC,24,6,6,2,14,8,6
15,HAC,25,6,7,2,14,8,6
16,PFC,27,8,3,5,19,15,4
17,PFC,30,9,3,5,20,15,5
18,FCSM,32,9,5,4,19,15,4
19,FCSM,33,9,6,4,20,16,4
20,FCSM,36,10,6,4,21,16,5
21,AJA,37,10,7,4,33,23,10
22,AJA,37,10,7,5,34,25,9
23,AJA,38,10,8,5,35,26,9
24,AJA,39,10,9,5,36,27,9
