leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SC BASTIA,1,0,1,0,1,1,0
2,VAFC,2,0,2,0,1,1,0
3,RODEZ AF,4,1,1,1,2,5,-3
4,SC BASTIA,5,1,2,1,4,4,0
5,QRM,7,2,1,2,7,7,0
6,NIORT,8,2,2,2,4,4,0
7,QRM,10,3,1,3,9,9,0
8,QRM,11,3,2,3,9,9,0
9,SM CAEN,11,3,2,4,9,8,1
10,RODEZ AF,13,3,4,3,10,12,-2
11,NÎMES,14,3,5,3,14,12,2
12,GRENOBLE,15,4,3,5,12,16,-4
13,RODEZ AF,16,4,4,5,13,15,-2
14,GRENOBLE,18,5,3,6,14,18,-4
15,EA GUINGAMP,18,4,6,5,18,20,-2
16,NÎMES,20,5,5,6,19,20,-1
17,GRENOBLE,21,6,3,8,16,21,-5
18,QRM,23,6,5,7,18,23,-5
19,QRM,24,6,6,7,20,25,-5
20,EA GUINGAMP,25,6,7,7,24,28,-4
21,DIJON FCO,26,8,2,11,27,29,-2
22,RODEZ AF,28,7,7,8,20,23,-3
23,DIJON FCO,29,9,2,12,29,33,-4
24,AMIENS SC,29,6,11,7,30,23,7
25,AMIENS SC,30,6,12,7,31,24,7
26,AMIENS SC,33,7,12,7,34,24,10
27,AMIENS SC,33,7,12,8,35,26,9
28,NIORT,35,10,5,13,28,30,-2
29,AMIENS SC,36,8,12,9,36,32,4
30,EA GUINGAMP,39,9,12,9,33,37,-4
31,AMIENS SC,40,9,13,9,39,33,6
32,AMIENS SC,41,9,14,9,39,33,6
33,DIJON FCO,42,12,6,15,37,42,-5
34,AMIENS SC,42,9,15,10,40,36,4
35,AMIENS SC,43,9,16,10,40,36,4
36,NIORT,45,12,9,15,36,38,-2
37,NIORT,45,12,9,15,36,38,-2
