leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PSG,TFC,FCSM,SMC,ASNL,MHSC,AJA,FCL,LOSC,SRFC,OGCN,ASM,OL,VAFC,OM,RCL,ACAA,FCGB,ASSE,SB29
2,TFC,SMC,SRFC,PSG,VAFC,OGCN,MHSC,FCSM,RCL,ASSE,ASNL,AJA,LOSC,ASM,FCL,OL,SB29,OM,FCGB,ACAA
3,TFC,SMC,SRFC,VAFC,OGCN,MHSC,PSG,RCL,FCSM,OL,ASSE,ASNL,OM,AJA,ASM,LOSC,FCGB,FCL,SB29,ACAA
4,TFC,SRFC,MHSC,FCSM,ASSE,SMC,ASM,OGCN,VAFC,OM,LOSC,FCL,PSG,FCGB,SB29,RCL,OL,ASNL,AJA,ACAA
5,TFC,SRFC,ASSE,OGCN,MHSC,SMC,PSG,LOSC,ASM,FCSM,ASNL,VAFC,OM,FCL,SB29,OL,AJA,FCGB,RCL,ACAA
6,ASSE,TFC,SRFC,SMC,FCSM,LOSC,OGCN,OM,PSG,ASM,SB29,MHSC,FCGB,VAFC,ASNL,FCL,OL,RCL,AJA,ACAA
7,ASSE,SRFC,TFC,SMC,PSG,OM,LOSC,SB29,MHSC,FCSM,OGCN,ASM,FCGB,FCL,ASNL,VAFC,AJA,OL,RCL,ACAA
8,SRFC,ASSE,LOSC,TFC,SB29,FCSM,PSG,OM,SMC,FCGB,MHSC,VAFC,OGCN,AJA,ASM,FCL,OL,ASNL,RCL,ACAA
9,SRFC,ASSE,PSG,OM,SB29,LOSC,FCGB,TFC,MHSC,FCSM,SMC,OGCN,FCL,OL,VAFC,ASM,AJA,ASNL,RCL,ACAA
10,SRFC,OM,ASSE,SB29,TFC,MHSC,PSG,LOSC,FCGB,SMC,FCSM,VAFC,OGCN,OL,AJA,FCL,ASNL,ASM,RCL,ACAA
11,SB29,SRFC,OM,ASSE,TFC,MHSC,PSG,LOSC,FCGB,OL,AJA,VAFC,FCL,SMC,ASNL,FCSM,OGCN,ASM,RCL,ACAA
12,SRFC,SB29,PSG,OM,LOSC,ASSE,TFC,MHSC,FCL,FCGB,OL,OGCN,AJA,VAFC,FCSM,SMC,ASNL,ASM,RCL,ACAA
13,SB29,LOSC,SRFC,MHSC,PSG,OM,ASSE,FCGB,OL,AJA,FCL,TFC,VAFC,OGCN,FCSM,ASM,SMC,RCL,ASNL,ACAA
14,LOSC,SRFC,MHSC,PSG,OM,SB29,FCGB,OL,ASSE,AJA,FCSM,FCL,TFC,ASNL,VAFC,OGCN,ASM,SMC,RCL,ACAA
15,OM,LOSC,SB29,PSG,SRFC,MHSC,FCGB,OL,FCSM,ASSE,FCL,TFC,AJA,VAFC,ASNL,OGCN,ASM,SMC,RCL,ACAA
16,LOSC,PSG,SRFC,OM,OL,SB29,FCSM,FCGB,TFC,MHSC,ASSE,FCL,AJA,OGCN,VAFC,ASNL,ASM,RCL,SMC,ACAA
17,LOSC,PSG,OL,SRFC,OM,SB29,ASSE,FCGB,MHSC,FCSM,FCL,TFC,ASNL,AJA,OGCN,VAFC,ASM,SMC,RCL,ACAA
18,LOSC,PSG,SRFC,OL,OM,ASSE,SB29,TFC,FCGB,MHSC,FCSM,FCL,AJA,OGCN,ASNL,VAFC,RCL,ASM,SMC,ACAA
19,LOSC,PSG,SRFC,OL,OM,ASSE,SB29,FCGB,TFC,MHSC,FCSM,FCL,ASNL,AJA,OGCN,VAFC,ASM,RCL,SMC,ACAA
20,LOSC,PSG,SRFC,OL,OM,TFC,MHSC,ASSE,SB29,FCGB,FCSM,FCL,ASNL,AJA,OGCN,VAFC,RCL,SMC,ASM,ACAA
21,LOSC,PSG,OL,SRFC,OM,MHSC,ASSE,FCGB,TFC,FCSM,SB29,FCL,VAFC,ASNL,AJA,SMC,OGCN,RCL,ASM,ACAA
22,LOSC,PSG,SRFC,OM,ASSE,OL,TFC,MHSC,FCGB,SB29,FCL,FCSM,VAFC,OGCN,AJA,ASNL,SMC,RCL,ASM,ACAA
23,LOSC,SRFC,OM,PSG,OL,ASSE,MHSC,TFC,FCGB,SB29,FCL,VAFC,FCSM,ASNL,SMC,OGCN,AJA,ASM,RCL,ACAA
24,LOSC,SRFC,OM,OL,PSG,MHSC,ASSE,FCL,SB29,TFC,FCSM,FCGB,VAFC,SMC,ASNL,AJA,OGCN,ASM,RCL,ACAA
25,LOSC,SRFC,OM,PSG,OL,MHSC,ASSE,FCL,SB29,FCGB,TFC,FCSM,VAFC,SMC,OGCN,ASNL,AJA,ASM,RCL,ACAA
26,LOSC,SRFC,OL,OM,PSG,MHSC,FCGB,FCL,FCSM,ASSE,SB29,TFC,VAFC,SMC,OGCN,AJA,ASNL,ASM,RCL,ACAA
27,LOSC,SRFC,OL,OM,PSG,MHSC,ASSE,FCGB,FCL,TFC,FCSM,SB29,OGCN,VAFC,SMC,ASNL,ASM,AJA,RCL,ACAA
28,LOSC,OM,SRFC,OL,PSG,ASSE,MHSC,FCGB,FCL,TFC,FCSM,SB29,SMC,ASNL,OGCN,VAFC,AJA,ASM,RCL,ACAA
29,LOSC,OM,SRFC,OL,PSG,MHSC,ASSE,FCGB,FCL,FCSM,TFC,ASNL,SB29,SMC,OGCN,VAFC,AJA,ASM,RCL,ACAA
30,LOSC,OM,OL,SRFC,PSG,MHSC,ASSE,FCGB,FCL,FCSM,TFC,SB29,ASNL,OGCN,VAFC,ASM,SMC,AJA,RCL,ACAA
31,LOSC,OM,OL,PSG,SRFC,ASSE,FCL,MHSC,FCSM,FCGB,SB29,OGCN,VAFC,TFC,AJA,ASNL,ASM,SMC,RCL,ACAA
32,OM,LOSC,OL,PSG,SRFC,FCGB,FCL,ASSE,FCSM,MHSC,SB29,VAFC,TFC,OGCN,ASM,AJA,ASNL,SMC,RCL,ACAA
33,LOSC,OM,OL,PSG,SRFC,FCL,FCSM,FCGB,ASSE,MHSC,TFC,SB29,VAFC,ASM,AJA,SMC,OGCN,ASNL,RCL,ACAA
34,LOSC,OM,OL,PSG,SRFC,FCSM,FCL,ASSE,FCGB,MHSC,TFC,VAFC,AJA,SB29,ASM,SMC,OGCN,ASNL,RCL,ACAA
35,LOSC,OM,OL,PSG,SRFC,FCSM,FCL,ASSE,MHSC,AJA,FCGB,TFC,VAFC,OGCN,SB29,SMC,ASM,ASNL,RCL,ACAA
36,LOSC,OM,OL,PSG,SRFC,FCSM,FCL,FCGB,ASSE,MHSC,AJA,VAFC,TFC,SMC,SB29,OGCN,ASNL,ASM,RCL,ACAA
37,LOSC,OM,OL,PSG,SRFC,FCSM,FCL,ASSE,FCGB,TFC,MHSC,AJA,SB29,OGCN,VAFC,SMC,ASNL,ASM,RCL,ACAA
38,LOSC,OM,OL,PSG,FCSM,SRFC,FCGB,TFC,AJA,ASSE,FCL,VAFC,ASNL,MHSC,SMC,SB29,OGCN,ASM,RCL,ACAA
