leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASNL,3,1,0,0,2,1,1
2,VAFC,4,1,1,0,3,2,1
3,OGCN,5,1,2,0,3,2,1
4,ASSE,7,2,1,1,7,6,1
5,MHSC,8,2,2,1,3,2,1
6,FCSM,10,3,1,2,12,7,5
7,PSG,11,3,2,2,11,6,5
8,SB29,14,4,2,2,7,4,3
9,SB29,15,4,3,2,7,4,3
10,TFC,17,5,2,3,13,10,3
11,TFC,18,5,3,3,14,11,3
12,LOSC,18,4,6,2,17,13,4
13,PSG,20,5,5,3,19,12,7
14,OM,23,6,5,3,21,14,7
15,SRFC,24,6,6,3,16,11,5
16,OL,26,7,5,4,22,19,3
17,OM,27,7,6,4,26,16,10
18,OM,28,7,7,4,27,17,10
19,OM,29,7,8,4,27,17,10
20,OM,32,8,8,4,29,18,11
21,OM,33,8,9,4,29,18,11
22,ASSE,35,9,8,5,31,24,7
23,OL,38,10,8,5,34,24,10
24,PSG,41,11,8,5,37,24,13
25,OL,42,11,9,5,39,25,14
26,PSG,44,12,8,6,39,26,13
27,PSG,45,12,9,6,41,28,13
28,PSG,45,12,9,7,42,30,12
29,PSG,46,12,10,7,42,30,12
30,PSG,49,13,10,7,44,31,13
31,SRFC,51,14,9,8,33,25,8
32,SRFC,51,14,9,9,33,26,7
33,SRFC,52,14,10,9,33,26,7
34,SRFC,52,14,10,10,33,28,5
35,SRFC,53,14,11,10,34,29,5
36,SRFC,56,15,11,10,36,30,6
37,SRFC,56,15,11,11,36,32,4
38,FCSM,58,17,7,14,60,43,17
