leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PARIS SG,TOULOUSE FC,FCSM,SM CAEN,NANCY,MONTPELLIER,AJ AUXERRE,FC LORIENT,LOSC,RENNES,OGC NICE,AS MONACO,OL,VAFC,OM,RC LENS,AC Arles-Avignon,BORDEAUX,ASSE,BREST
2,TOULOUSE FC,SM CAEN,RENNES,PARIS SG,VAFC,OGC NICE,MONTPELLIER,FCSM,RC LENS,ASSE,NANCY,AJ AUXERRE,LOSC,AS MONACO,FC LORIENT,OL,BREST,OM,BORDEAUX,AC Arles-Avignon
3,TOULOUSE FC,SM CAEN,RENNES,VAFC,OGC NICE,MONTPELLIER,PARIS SG,RC LENS,FCSM,OL,ASSE,NANCY,OM,AJ AUXERRE,AS MONACO,LOSC,BORDEAUX,FC LORIENT,BREST,AC Arles-Avignon
4,TOULOUSE FC,RENNES,MONTPELLIER,FCSM,ASSE,SM CAEN,AS MONACO,OGC NICE,VAFC,OM,LOSC,FC LORIENT,PARIS SG,BORDEAUX,BREST,RC LENS,OL,NANCY,AJ AUXERRE,AC Arles-Avignon
5,TOULOUSE FC,RENNES,ASSE,OGC NICE,MONTPELLIER,SM CAEN,PARIS SG,LOSC,AS MONACO,FCSM,NANCY,VAFC,OM,FC LORIENT,BREST,OL,AJ AUXERRE,BORDEAUX,RC LENS,AC Arles-Avignon
6,ASSE,TOULOUSE FC,RENNES,SM CAEN,FCSM,LOSC,OGC NICE,OM,PARIS SG,AS MONACO,BREST,MONTPELLIER,BORDEAUX,VAFC,NANCY,FC LORIENT,OL,RC LENS,AJ AUXERRE,AC Arles-Avignon
7,ASSE,RENNES,TOULOUSE FC,SM CAEN,PARIS SG,OM,LOSC,BREST,MONTPELLIER,FCSM,OGC NICE,AS MONACO,BORDEAUX,FC LORIENT,NANCY,VAFC,AJ AUXERRE,OL,RC LENS,AC Arles-Avignon
8,RENNES,ASSE,LOSC,TOULOUSE FC,BREST,FCSM,PARIS SG,OM,SM CAEN,BORDEAUX,MONTPELLIER,VAFC,OGC NICE,AJ AUXERRE,AS MONACO,FC LORIENT,OL,NANCY,RC LENS,AC Arles-Avignon
9,RENNES,ASSE,PARIS SG,OM,BREST,LOSC,BORDEAUX,TOULOUSE FC,MONTPELLIER,FCSM,SM CAEN,OGC NICE,FC LORIENT,OL,VAFC,AS MONACO,AJ AUXERRE,NANCY,RC LENS,AC Arles-Avignon
10,RENNES,OM,ASSE,BREST,TOULOUSE FC,MONTPELLIER,PARIS SG,LOSC,BORDEAUX,SM CAEN,FCSM,VAFC,OGC NICE,OL,AJ AUXERRE,FC LORIENT,NANCY,AS MONACO,RC LENS,AC Arles-Avignon
