leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SB29,0,0,0,1,0,2,-2
2,ACAA,0,0,0,2,1,3,-2
3,ACAA,0,0,0,3,2,5,-3
4,ACAA,0,0,0,4,2,6,-4
5,ACAA,0,0,0,5,2,10,-8
6,ACAA,0,0,0,6,2,13,-11
7,ACAA,0,0,0,7,3,16,-13
8,ACAA,0,0,0,8,3,20,-17
9,ACAA,1,0,1,8,3,20,-17
10,ACAA,2,0,2,8,4,21,-17
11,ACAA,2,0,2,9,4,23,-19
12,ACAA,5,1,2,9,7,25,-18
13,ACAA,6,1,3,9,7,25,-18
14,ACAA,6,1,3,10,9,29,-20
15,ACAA,6,1,3,11,9,32,-23
16,ACAA,7,1,4,11,10,33,-23
17,ACAA,7,1,4,12,10,34,-24
18,ACAA,7,1,4,13,10,36,-26
19,ACAA,8,1,5,13,10,36,-26
20,ACAA,8,1,5,14,10,40,-30
21,ACAA,8,1,5,15,11,42,-31
22,ACAA,8,1,5,16,11,43,-32
23,ACAA,9,1,6,16,11,43,-32
24,ACAA,10,1,7,16,12,44,-32
25,ACAA,11,1,8,16,13,45,-32
26,ACAA,11,1,8,17,13,50,-37
27,ACAA,12,1,9,17,16,53,-37
28,ACAA,12,1,9,18,16,55,-39
29,ACAA,12,1,9,19,16,57,-41
30,ACAA,13,1,10,19,16,57,-41
31,ACAA,13,1,10,20,16,58,-42
32,ACAA,14,1,11,20,16,58,-42
33,ACAA,14,1,11,21,16,63,-47
34,ACAA,14,1,11,22,16,64,-48
35,ACAA,14,1,11,23,18,67,-49
36,ACAA,17,2,11,23,19,67,-48
37,ACAA,20,3,11,23,20,67,-47
38,ACAA,20,3,11,24,21,70,-49
