leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PARIS SG,3,1,0,0,3,1,2
2,TOULOUSE FC,6,2,0,0,4,1,3
3,TOULOUSE FC,9,3,0,0,6,2,4
4,TOULOUSE FC,12,4,0,0,8,2,6
5,TOULOUSE FC,12,4,0,1,8,3,5
6,ASSE,13,4,1,1,11,6,5
7,ASSE,16,5,1,1,12,6,6
8,RENNES,18,5,3,0,12,4,8
9,RENNES,19,5,4,0,12,4,8
10,RENNES,19,5,4,1,12,5,7
11,BREST,21,6,3,2,11,4,7
12,RENNES,21,5,6,1,13,6,7
13,BREST,22,6,4,3,13,8,5
14,LOSC,24,6,6,2,24,16,8
15,OM,26,7,5,3,25,14,11
16,LOSC,28,7,7,2,31,20,11
17,LOSC,31,8,7,2,32,20,12
18,LOSC,34,9,7,2,35,20,15
19,LOSC,35,9,8,2,36,21,15
20,LOSC,38,10,8,2,38,21,17
21,LOSC,41,11,8,2,39,21,18
22,LOSC,42,11,9,2,40,22,18
23,LOSC,45,12,9,2,42,22,20
24,LOSC,45,12,9,3,42,23,19
25,LOSC,46,12,10,3,43,24,19
26,LOSC,49,13,10,3,45,25,20
27,LOSC,52,14,10,3,47,26,21
28,LOSC,55,15,10,3,49,27,22
29,LOSC,58,16,10,3,52,28,24
30,LOSC,58,16,10,4,52,29,23
31,LOSC,59,16,11,4,53,30,23
32,OM,61,17,10,5,50,29,21
33,LOSC,63,17,12,4,59,31,28
34,LOSC,66,18,12,4,60,31,29
35,LOSC,69,19,12,4,62,32,30
36,LOSC,72,20,12,4,63,32,31
37,LOSC,73,20,13,4,65,34,31
38,LOSC,76,21,13,4,68,36,32
