leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,9,0,9
3,SRFC,9,3,0,0,5,1,4
4,PSG,9,3,0,1,10,2,8
5,PSG,12,4,0,1,11,2,9
6,PSG,15,5,0,1,12,2,10
7,PSG,15,5,0,2,12,4,8
8,PSG,18,6,0,2,13,4,9
9,PSG,21,7,0,2,17,4,13
10,PSG,24,8,0,2,21,5,16
11,PSG,27,9,0,2,25,5,20
12,PSG,27,9,0,3,26,7,19
13,PSG,30,10,0,3,28,8,20
14,PSG,33,11,0,3,30,8,22
15,PSG,36,12,0,3,34,9,25
16,PSG,39,13,0,3,36,9,27
17,PSG,42,14,0,3,39,10,29
18,PSG,45,15,0,3,43,10,33
19,PSG,48,16,0,3,47,11,36
20,PSG,49,16,1,3,50,14,36
21,PSG,52,17,1,3,52,14,38
22,PSG,55,18,1,3,57,14,43
23,PSG,58,19,1,3,59,15,44
24,PSG,61,20,1,3,63,17,46
25,PSG,62,20,2,3,67,21,46
26,PSG,65,21,2,3,71,24,47
27,PSG,68,22,2,3,75,24,51
28,PSG,68,22,2,3,75,24,51
