leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,PARIS SG,ANGERS SCO,REIMS,ASSE,LOSC,OGC NICE,RENNES,TOULOUSE FC,FC METZ,STRASBOURG,BREST,FC NANTES,AMIENS SC,DIJON FCO,MONTPELLIER,BORDEAUX,OM,NÎMES,AS MONACO
2,OL,OGC NICE,RENNES,FC METZ,REIMS,ASSE,TOULOUSE FC,PARIS SG,AMIENS SC,LOSC,ANGERS SCO,BREST,STRASBOURG,FC NANTES,MONTPELLIER,BORDEAUX,OM,DIJON FCO,NÎMES,AS MONACO
3,RENNES,OL,PARIS SG,LOSC,OGC NICE,ANGERS SCO,BREST,REIMS,BORDEAUX,FC METZ,FC NANTES,MONTPELLIER,OM,ASSE,TOULOUSE FC,AMIENS SC,STRASBOURG,NÎMES,AS MONACO,DIJON FCO
4,PARIS SG,RENNES,OGC NICE,ANGERS SCO,OL,REIMS,FC NANTES,OM,TOULOUSE FC,LOSC,BORDEAUX,BREST,NÎMES,MONTPELLIER,FC METZ,ASSE,STRASBOURG,AMIENS SC,AS MONACO,DIJON FCO
5,PARIS SG,RENNES,FC NANTES,OM,LOSC,OGC NICE,ANGERS SCO,OL,BORDEAUX,TOULOUSE FC,REIMS,MONTPELLIER,BREST,NÎMES,ASSE,AMIENS SC,FC METZ,STRASBOURG,AS MONACO,DIJON FCO
6,PARIS SG,ANGERS SCO,OGC NICE,RENNES,OM,LOSC,FC NANTES,BORDEAUX,OL,REIMS,NÎMES,MONTPELLIER,TOULOUSE FC,AMIENS SC,BREST,STRASBOURG,ASSE,FC METZ,AS MONACO,DIJON FCO
7,PARIS SG,ANGERS SCO,LOSC,FC NANTES,BORDEAUX,OM,OGC NICE,REIMS,RENNES,MONTPELLIER,OL,NÎMES,BREST,TOULOUSE FC,AMIENS SC,FC METZ,STRASBOURG,AS MONACO,ASSE,DIJON FCO
8,PARIS SG,ANGERS SCO,FC NANTES,LOSC,OM,OGC NICE,BORDEAUX,RENNES,REIMS,MONTPELLIER,OL,AS MONACO,STRASBOURG,TOULOUSE FC,NÎMES,AMIENS SC,FC METZ,BREST,ASSE,DIJON FCO
9,PARIS SG,FC NANTES,ANGERS SCO,BORDEAUX,LOSC,REIMS,MONTPELLIER,OM,OGC NICE,RENNES,AMIENS SC,BREST,ASSE,OL,NÎMES,AS MONACO,STRASBOURG,TOULOUSE FC,DIJON FCO,FC METZ
10,PARIS SG,FC NANTES,REIMS,OM,ANGERS SCO,BORDEAUX,LOSC,MONTPELLIER,BREST,ASSE,OGC NICE,RENNES,AMIENS SC,AS MONACO,TOULOUSE FC,FC METZ,OL,NÎMES,DIJON FCO,STRASBOURG
