leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ASSE,3,1,0,0,2,1,1
2,REIMS,4,1,1,0,2,0,2
3,OGC NICE,6,2,0,1,5,4,1
4,OL,7,2,1,1,10,2,8
5,LOSC,9,3,0,2,7,5,2
6,OM,11,3,2,1,8,7,1
7,BORDEAUX,12,3,3,1,12,8,4
8,OM,13,3,4,1,9,8,1
9,LOSC,15,4,3,2,13,9,4
10,ANGERS SCO,16,5,1,4,16,16,0
11,BREST,17,4,5,2,13,13,0
12,LOSC,18,5,3,4,18,13,5
13,ASSE,21,6,3,4,15,17,-2
14,ASSE,22,6,4,4,15,17,-2
15,MONTPELLIER,23,6,5,4,18,12,6
16,LOSC,25,7,4,5,20,15,5
17,BORDEAUX,26,7,5,5,28,20,8
18,FC NANTES,29,9,2,7,16,16,0
19,REIMS,29,7,8,4,17,11,6
20,LOSC,31,9,4,7,24,22,2
21,OL,32,9,5,7,34,19,15
22,MONTPELLIER,33,9,6,7,30,26,4
23,MONTPELLIER,34,9,7,7,31,27,4
24,MONTPELLIER,37,10,7,7,32,27,5
25,AS MONACO,38,11,5,9,41,40,1
26,AS MONACO,39,11,6,9,42,41,1
27,OL,40,11,7,9,42,26,16
28,OGC NICE,41,11,8,9,41,38,3
