leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,9,0,9
3,RENNES,9,3,0,0,5,1,4
4,PARIS SG,9,3,0,1,10,2,8
5,PARIS SG,12,4,0,1,11,2,9
6,PARIS SG,15,5,0,1,12,2,10
7,PARIS SG,15,5,0,2,12,4,8
8,PARIS SG,18,6,0,2,13,4,9
9,PARIS SG,21,7,0,2,17,4,13
10,PARIS SG,24,8,0,2,21,5,16
11,PARIS SG,27,9,0,2,25,5,20
12,PARIS SG,27,9,0,3,26,7,19
13,PARIS SG,30,10,0,3,28,8,20
14,PARIS SG,33,11,0,3,30,8,22
15,PARIS SG,36,12,0,3,34,9,25
16,PARIS SG,39,13,0,3,36,9,27
17,PARIS SG,42,14,0,3,39,10,29
18,PARIS SG,45,15,0,3,43,10,33
19,PARIS SG,48,16,0,3,47,11,36
20,PARIS SG,49,16,1,3,50,14,36
21,PARIS SG,52,17,1,3,52,14,38
22,PARIS SG,55,18,1,3,57,14,43
23,PARIS SG,58,19,1,3,59,15,44
24,PARIS SG,61,20,1,3,63,17,46
25,PARIS SG,62,20,2,3,67,21,46
26,PARIS SG,65,21,2,3,71,24,47
27,PARIS SG,68,22,2,3,75,24,51
28,PARIS SG,68,22,2,3,75,24,51
