leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ANGERS SCO,3,1,0,0,3,1,2
2,RENNES,6,2,0,0,3,1,2
3,PARIS SG,6,2,0,1,8,2,6
4,OGC NICE,9,3,0,1,7,5,2
5,FC NANTES,10,3,1,1,5,3,2
6,OGC NICE,12,4,0,2,10,8,2
7,LOSC,13,4,1,2,10,6,4
8,FC NANTES,16,5,1,2,8,5,3
9,ANGERS SCO,16,5,1,3,16,15,1
10,REIMS,17,5,2,3,9,4,5
11,LOSC,18,5,3,3,17,11,6
12,FC NANTES,19,6,1,5,9,9,0
13,RENNES,21,6,3,4,17,13,4
14,ANGERS SCO,24,7,3,4,18,16,2
15,RENNES,24,7,3,5,20,16,4
16,RENNES,27,8,3,5,21,16,5
17,RENNES,30,9,3,5,23,17,6
18,RENNES,33,10,3,5,24,17,7
19,RENNES,36,11,3,5,25,17,8
20,RENNES,36,11,3,6,25,18,7
21,RENNES,37,11,4,6,26,19,7
22,RENNES,40,12,4,6,29,21,8
23,RENNES,40,12,4,7,29,22,7
24,RENNES,41,12,5,7,29,22,7
25,RENNES,41,12,5,8,29,23,6
26,RENNES,44,13,5,8,31,24,7
27,RENNES,47,14,5,8,33,24,9
28,RENNES,50,15,5,8,38,24,14
