leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,STRASBOURG,1,0,1,0,1,1,0
2,ANGERS SCO,3,1,0,1,3,7,-4
3,FC NANTES,4,1,1,1,3,3,0
4,BORDEAUX,5,1,2,1,5,5,0
5,REIMS,7,2,1,2,4,2,2
6,NÎMES,8,2,2,2,7,7,0
7,OL,9,2,3,2,14,7,7
8,OL,9,2,3,3,14,8,6
9,AMIENS SC,11,3,2,4,12,14,-2
10,OGC NICE,13,4,1,5,13,17,-4
11,AS MONACO,15,4,3,4,19,21,-2
12,OL,16,4,4,4,19,11,8
13,AS MONACO,18,5,3,5,20,22,-2
14,LOSC,19,5,4,5,18,15,3
15,REIMS,21,5,6,4,11,8,3
16,REIMS,22,5,7,4,12,9,3
17,AS MONACO,24,7,3,7,27,29,-2
18,ASSE,25,7,4,7,21,27,-6
19,STRASBOURG,27,8,3,8,23,24,-1
20,OGC NICE,28,8,4,8,29,28,1
21,REIMS,29,7,8,6,17,14,3
22,STRASBOURG,30,9,3,10,27,28,-1
23,FC NANTES,32,10,2,11,22,24,-2
24,OGC NICE,33,9,6,9,34,34,0
25,OL,34,9,7,9,38,26,12
26,FC NANTES,37,11,4,11,28,28,0
27,FC NANTES,37,11,4,12,28,29,-1
28,ANGERS SCO,39,11,6,11,28,33,-5
