leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,5,0,5
3,EA GUINGAMP,7,2,1,0,6,3,3
4,AS MONACO,10,3,1,0,10,4,6
5,AS MONACO,13,4,1,0,13,4,9
6,OGC NICE,14,4,2,0,11,4,7
7,OGC NICE,17,5,2,0,12,4,8
8,OGC NICE,20,6,2,0,14,5,9
9,OGC NICE,23,7,2,0,16,5,11
10,OGC NICE,26,8,2,0,20,7,13
11,OGC NICE,29,9,2,0,24,8,16
12,OGC NICE,29,9,2,1,24,9,15
13,OGC NICE,32,10,2,1,25,9,16
14,OGC NICE,33,10,3,1,26,10,16
15,OGC NICE,36,11,3,1,27,10,17
16,OGC NICE,39,12,3,1,30,10,20
17,OGC NICE,40,12,4,1,32,12,20
18,OGC NICE,43,13,4,1,34,13,21
19,OGC NICE,44,13,5,1,34,13,21
20,AS MONACO,45,14,3,3,60,21,39
21,AS MONACO,48,15,3,3,64,21,43
22,AS MONACO,49,15,4,3,65,22,43
23,AS MONACO,52,16,4,3,68,22,46
24,AS MONACO,55,17,4,3,70,23,47
25,AS MONACO,58,18,4,3,75,23,52
26,AS MONACO,59,18,5,3,76,24,52
27,AS MONACO,62,19,5,3,78,25,53
28,AS MONACO,65,20,5,3,82,25,57
29,AS MONACO,68,21,5,3,84,26,58
30,AS MONACO,71,22,5,3,87,26,61
31,AS MONACO,74,23,5,3,89,26,63
32,AS MONACO,77,24,5,3,90,26,64
33,AS MONACO,80,25,5,3,92,27,65
34,AS MONACO,83,26,5,3,94,28,66
35,AS MONACO,86,27,5,3,97,29,68
36,AS MONACO,89,28,5,3,100,29,71
37,AS MONACO,92,29,5,3,104,29,75
38,AS MONACO,95,30,5,3,107,31,76
