leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,MONTPELLIER,3,1,0,0,1,0,1
2,AS MONACO,4,1,1,0,3,2,1
3,SM CAEN,6,2,0,1,5,4,1
4,RENNES,7,2,1,1,5,2,3
5,TOULOUSE FC,8,2,2,1,7,4,3
6,EA GUINGAMP,11,3,2,1,9,6,3
7,FC METZ,13,4,1,2,9,8,1
8,BORDEAUX,13,4,1,3,11,10,1
9,BORDEAUX,14,4,2,3,12,11,1
10,RENNES,17,5,2,3,12,12,0
11,TOULOUSE FC,18,5,3,3,15,9,6
12,TOULOUSE FC,19,5,4,3,16,10,6
13,RENNES,21,6,3,4,14,17,-3
14,BORDEAUX,23,6,5,3,19,16,3
15,RENNES,24,7,3,5,16,19,-3
16,EA GUINGAMP,26,7,5,4,21,15,6
17,EA GUINGAMP,26,7,5,5,21,16,5
18,OM,27,7,6,5,20,18,2
19,OM,30,8,6,5,22,19,3
20,OM,30,8,6,6,23,23,0
21,ASSE,30,7,9,5,21,18,3
22,OM,33,9,6,7,29,27,2
23,OM,33,9,6,8,29,28,1
24,OM,36,10,6,8,31,28,3
25,OM,36,10,6,9,33,31,2
26,OM,39,11,6,9,35,31,4
27,ASSE,39,10,9,8,31,22,9
28,OM,42,12,6,10,40,37,3
29,BORDEAUX,43,11,10,8,37,36,1
30,BORDEAUX,46,12,10,8,42,37,5
31,BORDEAUX,46,12,10,9,43,39,4
32,OM,48,13,9,10,44,38,6
33,OM,51,14,9,10,48,38,10
34,OM,52,14,10,10,48,38,10
35,OM,55,15,10,10,53,39,14
36,BORDEAUX,57,15,12,9,51,41,10
37,BORDEAUX,58,15,13,9,52,42,10
38,BORDEAUX,59,15,14,9,53,43,10
