leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,0,3
2,OL,6,2,0,0,5,0,5
3,EAG,7,2,1,0,6,3,3
4,ASM,10,3,1,0,10,4,6
5,ASM,13,4,1,0,13,4,9
6,OGCN,14,4,2,0,11,4,7
7,OGCN,17,5,2,0,12,4,8
8,OGCN,20,6,2,0,14,5,9
9,OGCN,23,7,2,0,16,5,11
10,OGCN,26,8,2,0,20,7,13
11,OGCN,29,9,2,0,24,8,16
12,OGCN,29,9,2,1,24,9,15
13,OGCN,32,10,2,1,25,9,16
14,OGCN,33,10,3,1,26,10,16
15,OGCN,36,11,3,1,27,10,17
16,OGCN,39,12,3,1,30,10,20
17,OGCN,40,12,4,1,32,12,20
18,OGCN,43,13,4,1,34,13,21
19,OGCN,44,13,5,1,34,13,21
20,ASM,45,14,3,3,60,21,39
21,ASM,48,15,3,3,64,21,43
22,ASM,49,15,4,3,65,22,43
23,ASM,52,16,4,3,68,22,46
24,ASM,55,17,4,3,70,23,47
25,ASM,58,18,4,3,75,23,52
26,ASM,59,18,5,3,76,24,52
27,ASM,62,19,5,3,78,25,53
28,ASM,65,20,5,3,82,25,57
29,ASM,68,21,5,3,84,26,58
30,ASM,71,22,5,3,87,26,61
31,ASM,74,23,5,3,89,26,63
32,ASM,77,24,5,3,90,26,64
33,ASM,80,25,5,3,92,27,65
34,ASM,83,26,5,3,94,28,66
35,ASM,86,27,5,3,97,29,68
36,ASM,89,28,5,3,100,29,71
37,ASM,92,29,5,3,104,29,75
38,ASM,95,30,5,3,107,31,76
