leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,0,0,0,1,0,1,-1
2,OL,1,0,1,1,1,2,-1
3,EAG,3,1,0,2,3,3,0
4,ASM,3,1,0,3,5,7,-2
5,ASM,4,1,1,3,5,7,-2
6,OGCN,5,1,2,3,2,6,-4
7,OGCN,6,1,3,3,6,12,-6
8,OGCN,8,2,2,4,4,8,-4
9,OGCN,10,3,1,5,9,17,-8
10,OGCN,10,3,1,6,10,16,-6
11,OGCN,11,2,5,4,16,25,-9
12,OGCN,12,3,3,6,9,16,-7
13,OGCN,12,3,3,7,10,13,-3
14,OGCN,13,3,4,7,11,14,-3
15,OGCN,14,3,5,7,12,15,-3
16,OGCN,16,4,4,8,12,22,-10
17,OGCN,17,4,5,8,14,20,-6
18,OGCN,19,5,4,9,12,26,-14
19,OGCN,19,4,7,8,26,29,-3
20,ASM,20,4,8,8,27,30,-3
21,ASM,23,6,5,10,20,39,-19
22,ASM,23,5,8,9,30,39,-9
23,ASM,26,7,5,11,22,41,-19
24,ASM,26,6,8,10,33,42,-9
25,ASM,27,7,6,12,21,33,-12
26,ASM,28,8,4,14,26,43,-17
27,ASM,29,8,5,14,26,35,-9
28,ASM,30,8,6,14,27,36,-9
29,ASM,32,8,8,13,28,56,-28
30,ASM,32,9,5,16,31,51,-20
31,ASM,32,9,5,17,31,52,-21
32,ASM,32,9,5,18,31,54,-23
33,ASM,33,9,6,18,33,56,-23
34,ASM,34,10,4,20,42,65,-23
35,ASM,34,10,4,21,42,66,-24
36,ASM,36,10,6,20,35,63,-28
37,ASM,36,8,12,17,46,58,-12
38,ASM,37,8,13,17,46,58,-12
