leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OL,3,1,0,0,3,2,1
2,OL,6,2,0,0,4,0,4
3,EAG,7,2,1,0,6,3,3
4,ASM,10,3,1,0,6,3,3
5,ASM,11,3,2,0,7,4,3
6,OGCN,13,4,1,1,15,4,11
7,OGCN,16,5,1,1,15,9,6
8,OGCN,19,6,1,1,22,9,13
9,OGCN,19,6,1,2,19,7,12
10,OGCN,22,7,1,2,29,14,15
11,OGCN,23,7,2,2,30,15,15
12,OGCN,26,8,2,2,36,15,21
13,OGCN,29,9,2,2,39,15,24
14,OGCN,32,10,2,2,43,15,28
15,OGCN,35,11,2,2,30,8,22
16,OGCN,36,11,3,2,49,16,33
17,OGCN,39,12,3,2,53,16,37
18,OGCN,39,12,3,3,54,19,35
19,OGCN,42,13,3,3,56,20,36
20,ASM,45,13,6,1,34,13,21
21,ASM,46,13,7,1,35,14,21
22,ASM,49,14,7,1,38,15,23
23,ASM,49,15,4,4,45,17,28
24,ASM,52,16,4,4,47,18,29
25,ASM,55,17,4,4,50,18,32
26,ASM,56,17,5,4,50,18,32
27,ASM,59,18,5,4,55,19,36
28,ASM,62,19,5,4,56,19,37
29,ASM,65,20,5,4,58,20,38
30,ASM,68,21,5,4,60,21,39
31,ASM,71,22,5,4,63,23,40
32,ASM,74,23,5,4,67,23,44
33,ASM,77,24,5,4,69,23,46
34,ASM,80,25,5,4,71,23,48
35,ASM,80,25,5,5,72,26,46
36,ASM,83,26,5,5,77,26,51
37,ASM,86,27,5,5,82,26,56
38,ASM,87,27,6,5,83,27,56
