leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OL,BORDEAUX,SM CAEN,FC METZ,OGC NICE,MONTPELLIER,FC NANTES,PARIS SG,AS MONACO,EA GUINGAMP,TOULOUSE FC,OM,ASSE,LOSC,FC LORIENT,DIJON FCO,RENNES,ANGERS SCO,SC BASTIA,NANCY
2,OL,PARIS SG,OGC NICE,TOULOUSE FC,EA GUINGAMP,AS MONACO,SC BASTIA,ASSE,RENNES,LOSC,FC NANTES,SM CAEN,MONTPELLIER,BORDEAUX,FC METZ,OM,DIJON FCO,ANGERS SCO,FC LORIENT,NANCY
3,EA GUINGAMP,AS MONACO,OGC NICE,OL,PARIS SG,SM CAEN,FC METZ,BORDEAUX,TOULOUSE FC,ASSE,OM,RENNES,LOSC,MONTPELLIER,DIJON FCO,SC BASTIA,FC NANTES,ANGERS SCO,FC LORIENT,NANCY
4,AS MONACO,OGC NICE,FC METZ,BORDEAUX,EA GUINGAMP,RENNES,PARIS SG,OL,SC BASTIA,SM CAEN,TOULOUSE FC,ASSE,MONTPELLIER,OM,LOSC,DIJON FCO,ANGERS SCO,FC NANTES,NANCY,FC LORIENT
5,AS MONACO,OGC NICE,PARIS SG,FC METZ,BORDEAUX,TOULOUSE FC,EA GUINGAMP,ASSE,OL,RENNES,SC BASTIA,MONTPELLIER,ANGERS SCO,SM CAEN,OM,DIJON FCO,LOSC,FC NANTES,NANCY,FC LORIENT
6,OGC NICE,PARIS SG,AS MONACO,BORDEAUX,TOULOUSE FC,EA GUINGAMP,OL,RENNES,FC METZ,ASSE,ANGERS SCO,SC BASTIA,MONTPELLIER,SM CAEN,OM,FC NANTES,NANCY,LOSC,DIJON FCO,FC LORIENT
7,OGC NICE,AS MONACO,TOULOUSE FC,PARIS SG,BORDEAUX,FC METZ,ASSE,EA GUINGAMP,OL,SC BASTIA,RENNES,ANGERS SCO,OM,DIJON FCO,SM CAEN,MONTPELLIER,FC LORIENT,FC NANTES,NANCY,LOSC
8,OGC NICE,AS MONACO,PARIS SG,TOULOUSE FC,OL,BORDEAUX,RENNES,FC METZ,ASSE,EA GUINGAMP,SC BASTIA,ANGERS SCO,SM CAEN,OM,DIJON FCO,FC NANTES,MONTPELLIER,LOSC,FC LORIENT,NANCY
9,OGC NICE,PARIS SG,AS MONACO,TOULOUSE FC,EA GUINGAMP,BORDEAUX,RENNES,OL,ASSE,ANGERS SCO,FC METZ,OM,FC NANTES,SC BASTIA,MONTPELLIER,SM CAEN,DIJON FCO,LOSC,FC LORIENT,NANCY
10,OGC NICE,AS MONACO,PARIS SG,TOULOUSE FC,EA GUINGAMP,RENNES,ASSE,BORDEAUX,ANGERS SCO,OL,OM,FC METZ,DIJON FCO,FC NANTES,SC BASTIA,LOSC,MONTPELLIER,SM CAEN,NANCY,FC LORIENT
11,OGC NICE,AS MONACO,PARIS SG,EA GUINGAMP,RENNES,TOULOUSE FC,ASSE,OL,BORDEAUX,OM,ANGERS SCO,DIJON FCO,FC METZ,SC BASTIA,FC NANTES,MONTPELLIER,LOSC,SM CAEN,NANCY,FC LORIENT
12,OGC NICE,AS MONACO,PARIS SG,EA GUINGAMP,RENNES,TOULOUSE FC,OL,BORDEAUX,ASSE,ANGERS SCO,DIJON FCO,OM,MONTPELLIER,FC METZ,SM CAEN,FC NANTES,SC BASTIA,LOSC,NANCY,FC LORIENT
13,OGC NICE,AS MONACO,PARIS SG,OL,EA GUINGAMP,RENNES,BORDEAUX,TOULOUSE FC,ASSE,ANGERS SCO,OM,FC METZ,MONTPELLIER,DIJON FCO,SM CAEN,SC BASTIA,FC NANTES,NANCY,LOSC,FC LORIENT
14,OGC NICE,AS MONACO,PARIS SG,RENNES,EA GUINGAMP,BORDEAUX,OL,ASSE,TOULOUSE FC,ANGERS SCO,FC METZ,OM,MONTPELLIER,DIJON FCO,SM CAEN,SC BASTIA,FC NANTES,NANCY,LOSC,FC LORIENT
15,OGC NICE,PARIS SG,AS MONACO,OL,BORDEAUX,RENNES,EA GUINGAMP,TOULOUSE FC,ASSE,ANGERS SCO,OM,FC METZ,NANCY,MONTPELLIER,DIJON FCO,SC BASTIA,LOSC,SM CAEN,FC NANTES,FC LORIENT
16,OGC NICE,AS MONACO,PARIS SG,OL,RENNES,EA GUINGAMP,BORDEAUX,TOULOUSE FC,ASSE,OM,ANGERS SCO,MONTPELLIER,FC METZ,LOSC,DIJON FCO,NANCY,SM CAEN,SC BASTIA,FC NANTES,FC LORIENT
17,OGC NICE,AS MONACO,PARIS SG,OL,RENNES,EA GUINGAMP,TOULOUSE FC,ASSE,OM,BORDEAUX,LOSC,ANGERS SCO,MONTPELLIER,NANCY,FC METZ,SC BASTIA,DIJON FCO,FC NANTES,SM CAEN,FC LORIENT
