leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,DIJON FCO,0,0,0,1,0,1,-1
2,OM,1,0,1,1,1,2,-1
3,SC BASTIA,3,1,0,2,3,3,0
4,DIJON FCO,3,1,0,3,5,7,-2
5,DIJON FCO,4,1,1,3,5,7,-2
6,FC NANTES,5,1,2,3,2,6,-4
7,MONTPELLIER,6,1,3,3,6,12,-6
8,FC NANTES,8,2,2,4,4,8,-4
9,SM CAEN,10,3,1,5,9,17,-8
10,LOSC,10,3,1,6,10,16,-6
11,MONTPELLIER,11,2,5,4,16,25,-9
12,FC NANTES,12,3,3,6,9,16,-7
13,SC BASTIA,12,3,3,7,10,13,-3
14,SC BASTIA,13,3,4,7,11,14,-3
15,SC BASTIA,14,3,5,7,12,15,-3
16,NANCY,16,4,4,8,12,22,-10
17,SC BASTIA,17,4,5,8,14,20,-6
18,FC NANTES,19,5,4,9,12,26,-14
19,DIJON FCO,19,4,7,8,26,29,-3
20,DIJON FCO,20,4,8,8,27,30,-3
21,FC METZ,23,6,5,10,20,39,-19
22,MONTPELLIER,23,5,8,9,30,39,-9
23,FC METZ,26,7,5,11,22,41,-19
24,MONTPELLIER,26,6,8,10,33,42,-9
25,ANGERS SCO,27,7,6,12,21,33,-12
26,SM CAEN,28,8,4,14,26,43,-17
27,LOSC,29,8,5,14,26,35,-9
28,LOSC,30,8,6,14,27,36,-9
29,FC METZ,32,8,8,13,28,56,-28
30,SM CAEN,32,9,5,16,31,51,-20
31,SM CAEN,32,9,5,17,31,52,-21
32,SM CAEN,32,9,5,18,31,54,-23
33,SM CAEN,33,9,6,18,33,56,-23
34,FC LORIENT,34,10,4,20,42,65,-23
35,FC LORIENT,34,10,4,21,42,66,-24
36,SM CAEN,36,10,6,20,35,63,-28
37,DIJON FCO,36,8,12,17,46,58,-12
38,DIJON FCO,37,8,13,17,46,58,-12
