leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OGC NICE,1,0,1,0,0,0,0
2,FC METZ,1,0,1,1,3,5,-2
3,BORDEAUX,2,0,2,1,3,5,-2
4,FC METZ,3,0,3,1,6,8,-2
5,STRASBOURG,4,1,1,3,7,11,-4
6,LOSC,5,1,2,3,7,12,-5
7,REIMS,7,1,4,2,7,8,-1
8,CLERMONT,9,2,3,3,11,19,-8
9,CLERMONT,10,2,4,3,12,20,-8
10,REIMS,11,2,5,3,11,12,-1
11,TROYES,12,3,3,5,11,15,-4
12,CLERMONT,13,3,4,5,14,23,-9
13,CLERMONT,13,3,4,6,16,26,-10
14,REIMS,13,2,7,5,15,18,-3
15,FC LORIENT,15,3,6,6,13,23,-10
16,TROYES,16,4,4,8,15,23,-8
17,TROYES,16,4,4,9,16,25,-9
18,BORDEAUX,17,3,8,7,28,40,-12
19,TROYES,17,4,5,10,18,28,-10
20,TROYES,20,5,5,10,19,28,-9
21,TROYES,20,5,5,11,19,29,-10
22,CLERMONT,21,5,6,11,22,39,-17
23,CLERMONT,24,6,6,11,23,39,-16
