leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,3,2,1
2,PARIS SG,6,2,0,0,6,3,3
3,CLERMONT,7,2,1,0,7,3,4
4,CLERMONT,8,2,2,0,9,5,4
5,OM,11,3,2,0,11,6,5
6,RC LENS,12,3,3,0,11,7,4
7,ANGERS SCO,12,3,3,1,10,6,4
8,RC LENS,15,4,3,1,14,10,4
9,OGC NICE,17,5,3,1,18,5,13
10,RC LENS,18,5,3,2,16,11,5
11,OGC NICE,20,6,3,2,21,8,13
12,OM,22,6,4,2,20,12,8
13,OGC NICE,23,7,3,3,23,10,13
14,RENNES,25,7,4,3,24,12,12
15,OGC NICE,26,8,3,4,25,12,13
16,RENNES,28,8,4,4,27,14,13
17,OM,29,8,5,3,23,14,9
18,RENNES,31,9,4,5,33,16,17
19,OM,33,9,6,3,26,15,11
20,OM,36,10,6,3,27,15,12
21,OM,36,10,6,3,27,15,12
