leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,BORDEAUX,0,0,0,1,0,2,-2
2,TROYES,0,0,0,2,1,4,-3
3,AS MONACO,1,0,1,2,1,4,-3
4,BORDEAUX,2,0,2,2,3,9,-6
5,ASSE,3,0,3,2,5,9,-4
6,ASSE,3,0,3,3,6,11,-5
7,ASSE,3,0,3,4,7,14,-7
8,BREST,4,0,4,4,9,16,-7
9,BREST,4,0,4,5,10,18,-8
10,BREST,5,0,5,5,11,19,-8
11,FC METZ,6,1,3,7,12,26,-14
12,FC METZ,7,1,4,7,13,27,-14
13,ASSE,9,1,6,6,15,28,-13
14,ASSE,12,2,6,6,16,28,-12
15,FC METZ,12,2,6,7,17,30,-13
16,FC METZ,12,2,6,8,18,33,-15
17,FC METZ,12,2,6,9,18,37,-19
18,FC LORIENT,15,3,6,9,14,30,-16
19,FC LORIENT,16,3,7,9,15,31,-16
20,FC METZ,16,3,7,10,23,41,-18
21,FC METZ,16,3,7,10,23,41,-18
