leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,CLERMONT,ANGERS SCO,OM,PARIS SG,LOSC,FC METZ,FC NANTES,BREST,RC LENS,FC LORIENT,AS MONACO,RENNES,OL,ASSE,OGC NICE,REIMS,MONTPELLIER,TROYES,BORDEAUX,STRASBOURG
2,ANGERS SCO,CLERMONT,PARIS SG,OGC NICE,FC NANTES,OM,FC LORIENT,ASSE,RC LENS,REIMS,RENNES,BREST,MONTPELLIER,AS MONACO,FC METZ,BORDEAUX,OL,LOSC,TROYES,STRASBOURG
3,PARIS SG,ANGERS SCO,CLERMONT,RC LENS,OM,RENNES,OGC NICE,MONTPELLIER,FC NANTES,FC LORIENT,ASSE,REIMS,BREST,FC METZ,BORDEAUX,OL,LOSC,TROYES,AS MONACO,STRASBOURG
4,PARIS SG,ANGERS SCO,CLERMONT,OM,OGC NICE,RC LENS,FC LORIENT,RENNES,OL,LOSC,MONTPELLIER,FC NANTES,STRASBOURG,AS MONACO,FC METZ,ASSE,REIMS,BREST,BORDEAUX,TROYES
5,PARIS SG,ANGERS SCO,OM,OGC NICE,RC LENS,CLERMONT,OL,FC LORIENT,MONTPELLIER,REIMS,RENNES,LOSC,TROYES,FC NANTES,STRASBOURG,AS MONACO,BREST,FC METZ,ASSE,BORDEAUX
6,PARIS SG,OM,RC LENS,OGC NICE,ANGERS SCO,CLERMONT,FC LORIENT,MONTPELLIER,OL,FC NANTES,REIMS,STRASBOURG,TROYES,AS MONACO,LOSC,RENNES,BORDEAUX,BREST,ASSE,FC METZ
7,PARIS SG,OM,ANGERS SCO,RC LENS,FC LORIENT,OGC NICE,OL,FC NANTES,STRASBOURG,MONTPELLIER,CLERMONT,RENNES,AS MONACO,LOSC,REIMS,BORDEAUX,TROYES,BREST,ASSE,FC METZ
8,PARIS SG,OM,RC LENS,OGC NICE,ANGERS SCO,FC LORIENT,OL,AS MONACO,LOSC,FC NANTES,REIMS,STRASBOURG,RENNES,MONTPELLIER,CLERMONT,BORDEAUX,TROYES,FC METZ,BREST,ASSE
9,PARIS SG,RC LENS,OGC NICE,ANGERS SCO,OM,AS MONACO,FC LORIENT,LOSC,FC NANTES,OL,RENNES,STRASBOURG,MONTPELLIER,REIMS,CLERMONT,BORDEAUX,TROYES,FC METZ,BREST,ASSE
10,PARIS SG,OM,RC LENS,OGC NICE,ANGERS SCO,OL,RENNES,STRASBOURG,FC NANTES,AS MONACO,LOSC,FC LORIENT,MONTPELLIER,CLERMONT,REIMS,TROYES,BORDEAUX,FC METZ,BREST,ASSE
11,PARIS SG,RC LENS,OGC NICE,OM,RENNES,ANGERS SCO,FC NANTES,AS MONACO,OL,LOSC,FC LORIENT,STRASBOURG,MONTPELLIER,CLERMONT,TROYES,REIMS,BORDEAUX,BREST,FC METZ,ASSE
12,PARIS SG,OGC NICE,OM,RC LENS,RENNES,OL,STRASBOURG,ANGERS SCO,FC NANTES,AS MONACO,MONTPELLIER,LOSC,FC LORIENT,TROYES,CLERMONT,BORDEAUX,REIMS,BREST,FC METZ,ASSE
13,PARIS SG,RC LENS,OGC NICE,OM,RENNES,MONTPELLIER,OL,STRASBOURG,ANGERS SCO,FC NANTES,AS MONACO,LOSC,FC LORIENT,TROYES,CLERMONT,REIMS,BREST,BORDEAUX,ASSE,FC METZ
14,PARIS SG,OGC NICE,RENNES,RC LENS,OM,ANGERS SCO,OL,STRASBOURG,AS MONACO,MONTPELLIER,FC NANTES,LOSC,BREST,FC LORIENT,REIMS,BORDEAUX,TROYES,CLERMONT,ASSE,FC METZ
15,PARIS SG,RENNES,OGC NICE,OM,RC LENS,OL,ANGERS SCO,STRASBOURG,AS MONACO,FC NANTES,MONTPELLIER,BREST,LOSC,REIMS,FC LORIENT,BORDEAUX,TROYES,CLERMONT,FC METZ,ASSE
16,PARIS SG,OM,RENNES,OGC NICE,RC LENS,OL,STRASBOURG,AS MONACO,ANGERS SCO,MONTPELLIER,BREST,LOSC,FC NANTES,REIMS,TROYES,FC LORIENT,CLERMONT,BORDEAUX,FC METZ,ASSE
