leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,ANGERS SCO,3,1,0,0,2,0,2
2,PARIS SG,6,2,0,0,3,0,3
3,PARIS SG,9,3,0,0,4,0,4
4,PARIS SG,12,4,0,0,7,0,7
5,PARIS SG,13,4,1,0,9,2,7
6,PARIS SG,14,4,2,0,10,3,7
7,PARIS SG,17,5,2,0,13,3,10
8,PARIS SG,20,6,2,0,17,4,13
9,PARIS SG,23,7,2,0,19,5,14
10,PARIS SG,26,8,2,0,21,5,16
11,PARIS SG,29,9,2,0,25,6,19
12,PARIS SG,32,10,2,0,26,6,20
13,PARIS SG,35,11,2,0,31,6,25
14,PARIS SG,38,12,2,0,33,7,26
15,PARIS SG,41,13,2,0,37,8,29
16,PARIS SG,42,13,3,0,37,8,29
17,PARIS SG,45,14,3,0,40,8,32
18,PARIS SG,48,15,3,0,45,9,36
19,PARIS SG,51,16,3,0,48,9,39
20,PARIS SG,54,17,3,0,50,9,41
21,PARIS SG,57,18,3,0,51,9,42
22,PARIS SG,60,19,3,0,56,10,46
23,PARIS SG,63,20,3,0,58,10,48
24,PARIS SG,66,21,3,0,61,11,50
25,PARIS SG,69,22,3,0,63,12,51
26,PARIS SG,70,22,4,0,63,12,51
27,PARIS SG,73,23,4,0,67,13,54
28,PARIS SG,73,23,4,1,68,15,53
29,PARIS SG,74,23,5,1,68,15,53
30,PARIS SG,77,24,5,1,77,15,62
31,PARIS SG,77,24,5,2,77,17,60
32,PARIS SG,80,25,5,2,81,18,63
33,PARIS SG,83,26,5,2,83,18,65
34,PARIS SG,86,27,5,2,89,18,71
35,PARIS SG,87,27,6,2,90,19,71
36,PARIS SG,90,28,6,2,94,19,75
37,PARIS SG,93,29,6,2,98,19,79
38,PARIS SG,96,30,6,2,102,19,83
