leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO,SCO
2,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
3,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
4,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
5,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
6,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
7,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
8,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
9,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
10,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
11,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
12,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
13,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
14,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
15,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
16,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
17,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
18,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
19,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
20,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
21,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
22,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
23,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
24,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
25,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
26,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
27,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
28,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
29,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
30,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
31,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
32,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
33,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
34,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
35,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
36,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
37,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
38,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG,PSG
