leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,ANGERS SCO,AS MONACO,REIMS,SC BASTIA,TOULOUSE FC,SM CAEN,FC NANTES,PARIS SG,TROYES,OL,FC LORIENT,GAZ. AJACCIO,ASSE,RENNES,BORDEAUX,OGC NICE,OM,EA GUINGAMP,LOSC,MONTPELLIER
2,PARIS SG,REIMS,SM CAEN,ANGERS SCO,SC BASTIA,AS MONACO,OL,FC NANTES,RENNES,TOULOUSE FC,TROYES,FC LORIENT,OGC NICE,ASSE,BORDEAUX,LOSC,GAZ. AJACCIO,EA GUINGAMP,OM,MONTPELLIER
3,PARIS SG,SC BASTIA,ANGERS SCO,FC NANTES,RENNES,SM CAEN,REIMS,AS MONACO,OGC NICE,ASSE,TOULOUSE FC,OL,OM,BORDEAUX,FC LORIENT,LOSC,TROYES,GAZ. AJACCIO,MONTPELLIER,EA GUINGAMP
4,PARIS SG,REIMS,RENNES,ANGERS SCO,OL,SC BASTIA,ASSE,FC NANTES,SM CAEN,BORDEAUX,OGC NICE,LOSC,AS MONACO,TOULOUSE FC,OM,EA GUINGAMP,TROYES,FC LORIENT,MONTPELLIER,GAZ. AJACCIO
5,PARIS SG,RENNES,REIMS,ASSE,SM CAEN,OL,ANGERS SCO,AS MONACO,SC BASTIA,FC NANTES,OM,BORDEAUX,LOSC,EA GUINGAMP,OGC NICE,TOULOUSE FC,FC LORIENT,TROYES,MONTPELLIER,GAZ. AJACCIO
6,PARIS SG,RENNES,ASSE,SM CAEN,REIMS,ANGERS SCO,OL,EA GUINGAMP,OGC NICE,FC LORIENT,AS MONACO,OM,BORDEAUX,LOSC,SC BASTIA,FC NANTES,TOULOUSE FC,TROYES,MONTPELLIER,GAZ. AJACCIO
7,PARIS SG,ASSE,RENNES,OL,REIMS,ANGERS SCO,SM CAEN,OGC NICE,FC LORIENT,AS MONACO,FC NANTES,EA GUINGAMP,OM,LOSC,TOULOUSE FC,SC BASTIA,BORDEAUX,TROYES,GAZ. AJACCIO,MONTPELLIER
8,PARIS SG,ASSE,RENNES,REIMS,ANGERS SCO,SM CAEN,OGC NICE,OL,AS MONACO,FC LORIENT,SC BASTIA,BORDEAUX,EA GUINGAMP,FC NANTES,OM,LOSC,TOULOUSE FC,MONTPELLIER,TROYES,GAZ. AJACCIO
9,PARIS SG,ANGERS SCO,SM CAEN,RENNES,ASSE,OL,REIMS,OGC NICE,FC LORIENT,AS MONACO,EA GUINGAMP,FC NANTES,LOSC,SC BASTIA,BORDEAUX,OM,TOULOUSE FC,MONTPELLIER,TROYES,GAZ. AJACCIO
10,PARIS SG,ANGERS SCO,SM CAEN,ASSE,OGC NICE,OL,RENNES,FC NANTES,REIMS,FC LORIENT,AS MONACO,EA GUINGAMP,LOSC,BORDEAUX,SC BASTIA,OM,TOULOUSE FC,MONTPELLIER,TROYES,GAZ. AJACCIO
11,PARIS SG,ANGERS SCO,SM CAEN,OL,ASSE,FC NANTES,OGC NICE,RENNES,AS MONACO,FC LORIENT,REIMS,EA GUINGAMP,BORDEAUX,OM,LOSC,SC BASTIA,MONTPELLIER,TOULOUSE FC,GAZ. AJACCIO,TROYES
