leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,SCO,3,1,0,0,2,1,1
2,PSG,6,2,0,0,2,0,2
3,PSG,7,2,1,0,4,0,4
4,PSG,9,3,0,1,7,4,3
5,PSG,10,3,1,1,9,5,4
6,PSG,13,4,1,1,9,5,4
7,PSG,14,4,2,1,11,6,5
8,PSG,15,4,3,1,12,7,5
9,PSG,18,6,0,3,11,10,1
10,PSG,21,7,0,3,12,10,2
11,PSG,21,7,0,4,12,12,0
12,PSG,22,6,4,2,12,7,5
13,PSG,24,8,0,5,14,14,0
14,PSG,25,8,1,5,14,14,0
15,PSG,26,7,5,3,14,9,5
16,PSG,27,7,6,3,14,9,5
17,PSG,29,9,2,6,20,18,2
18,PSG,31,8,7,3,25,23,2
19,PSG,31,8,7,4,17,11,6
20,PSG,33,8,9,3,27,25,2
21,PSG,34,9,7,5,20,13,7
22,PSG,36,10,6,6,37,26,11
23,PSG,37,10,7,6,24,18,6
24,PSG,39,11,6,7,38,28,10
25,PSG,39,11,6,8,38,29,9
26,PSG,40,11,7,8,39,30,9
27,PSG,41,11,8,8,39,30,9
28,PSG,42,12,6,10,40,30,10
29,PSG,45,13,6,10,45,31,14
30,PSG,47,13,8,9,43,33,10
31,PSG,50,14,8,9,46,33,13
32,PSG,52,15,7,10,52,34,18
33,PSG,55,14,13,6,48,40,8
34,PSG,56,16,8,10,55,35,20
35,PSG,59,15,14,6,51,42,9
36,PSG,62,16,14,6,54,44,10
37,PSG,62,16,14,7,55,50,5
38,PSG,65,17,14,7,57,50,7
