leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,FCGB,SCB,LOSC,VAFC,ASNL,OM,OL,ACA,PSG,FCL,MHSC,TFC,FCSM,TEGG,ASSE,ESTAC,OGCN,SB29,SDR,SRFC
2,OL,OM,SCB,FCGB,FCL,LOSC,TFC,ASNL,VAFC,SB29,ACA,PSG,MHSC,OGCN,ASSE,TEGG,SDR,SRFC,FCSM,ESTAC
3,OM,OL,VAFC,FCGB,TFC,SCB,FCL,LOSC,ASNL,ASSE,PSG,SRFC,SDR,SB29,OGCN,ACA,TEGG,MHSC,ESTAC,FCSM
4,OM,OL,FCL,FCGB,TFC,VAFC,ASSE,PSG,SCB,SB29,LOSC,ACA,MHSC,SDR,ASNL,OGCN,SRFC,TEGG,ESTAC,FCSM
5,OM,OL,FCL,PSG,FCGB,VAFC,TFC,SDR,ASSE,OGCN,LOSC,SCB,SB29,ACA,TEGG,MHSC,ASNL,SRFC,FCSM,ESTAC
6,OM,OL,PSG,FCL,SDR,FCGB,TFC,SB29,VAFC,ASSE,OGCN,LOSC,ACA,FCSM,SCB,MHSC,TEGG,SRFC,ASNL,ESTAC
7,OM,PSG,OL,FCL,FCGB,TFC,VAFC,SDR,ACA,SB29,ASSE,OGCN,MHSC,SRFC,LOSC,SCB,FCSM,TEGG,ASNL,ESTAC
8,OM,PSG,OL,FCL,SDR,FCGB,TFC,VAFC,ASSE,LOSC,SRFC,SB29,SCB,ACA,MHSC,OGCN,TEGG,FCSM,ASNL,ESTAC
9,PSG,OM,OL,TFC,VAFC,FCGB,SDR,FCL,SRFC,ASSE,LOSC,SCB,ACA,SB29,OGCN,MHSC,TEGG,FCSM,ESTAC,ASNL
10,PSG,OL,TFC,OM,ASSE,VAFC,SDR,FCGB,FCL,LOSC,SCB,SRFC,MHSC,ACA,FCSM,SB29,OGCN,TEGG,ESTAC,ASNL
11,OL,PSG,OM,TFC,VAFC,ASSE,FCGB,LOSC,SRFC,SDR,FCL,SCB,SB29,MHSC,OGCN,ACA,FCSM,TEGG,ESTAC,ASNL
12,OL,PSG,OM,ASSE,VAFC,FCGB,LOSC,TFC,SRFC,SDR,FCL,ACA,SCB,MHSC,OGCN,SB29,TEGG,FCSM,ESTAC,ASNL
13,OL,FCGB,PSG,OM,ASSE,VAFC,SRFC,LOSC,TFC,FCL,OGCN,SB29,SDR,MHSC,ACA,FCSM,SCB,TEGG,ESTAC,ASNL
14,OL,PSG,OM,ASSE,FCGB,VAFC,TFC,SRFC,LOSC,OGCN,FCL,MHSC,SB29,SCB,SDR,ACA,TEGG,FCSM,ESTAC,ASNL
15,OL,OM,ASSE,PSG,VAFC,FCGB,SRFC,TFC,OGCN,LOSC,FCL,SCB,MHSC,SB29,SDR,ACA,TEGG,FCSM,ESTAC,ASNL
