leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCL,1,0,1,0,2,2,0
2,SB29,3,1,0,1,1,1,0
3,ASSE,3,1,0,2,6,4,2
4,SB29,6,2,0,2,3,6,-3
5,OGCN,6,1,3,1,7,6,1
6,ASSE,7,2,1,3,10,6,4
7,SB29,9,3,0,4,7,12,-5
8,LOSC,10,2,4,2,10,10,0
9,ASSE,12,3,3,3,15,7,8
10,LOSC,14,3,5,2,13,12,1
11,SDR,15,4,3,4,12,9,3
12,SDR,15,4,3,5,13,11,2
13,FCL,18,4,6,3,21,25,-4
14,OGCN,19,4,7,3,19,19,0
15,LOSC,21,5,6,4,16,15,1
16,OGCN,23,5,8,3,22,21,1
17,LOSC,25,6,7,4,19,16,3
18,VAFC,26,7,5,6,29,23,6
19,ASSE,27,7,6,6,24,14,10
20,VAFC,29,8,5,7,31,29,2
21,LOSC,30,7,9,5,26,22,4
22,TFC,31,8,7,7,30,24,6
23,LOSC,31,7,10,6,27,24,3
24,LOSC,34,8,10,6,30,25,5
25,LOSC,37,9,10,6,32,25,7
26,FCGB,38,9,11,6,26,22,4
27,FCGB,38,9,11,7,27,24,3
28,FCL,40,10,10,8,43,44,-1
29,SRFC,42,12,6,11,41,39,2
30,SRFC,42,12,6,12,41,41,0
31,SRFC,42,12,6,13,41,43,-2
32,SRFC,42,12,6,14,43,47,-4
33,SRFC,42,12,6,15,44,49,-5
34,SRFC,45,13,6,15,46,49,-3
35,TFC,45,11,12,12,44,44,0
36,TFC,45,11,12,13,45,46,-1
37,TFC,48,12,12,13,47,47,0
38,TFC,51,13,12,13,49,47,2
