leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,BORDEAUX,SC BASTIA,LOSC,VAFC,NANCY,OM,OL,AC AJACCIO,PARIS SG,FC LORIENT,MONTPELLIER,TOULOUSE FC,FCSM,Evian TG,ASSE,TROYES,OGC NICE,BREST,REIMS,RENNES
2,OL,OM,SC BASTIA,BORDEAUX,FC LORIENT,LOSC,TOULOUSE FC,NANCY,VAFC,BREST,AC AJACCIO,PARIS SG,MONTPELLIER,OGC NICE,ASSE,Evian TG,REIMS,RENNES,FCSM,TROYES
3,OM,OL,VAFC,BORDEAUX,TOULOUSE FC,SC BASTIA,FC LORIENT,LOSC,NANCY,ASSE,PARIS SG,RENNES,REIMS,BREST,OGC NICE,AC AJACCIO,Evian TG,MONTPELLIER,TROYES,FCSM
4,OM,OL,FC LORIENT,BORDEAUX,TOULOUSE FC,VAFC,ASSE,PARIS SG,SC BASTIA,BREST,LOSC,AC AJACCIO,MONTPELLIER,REIMS,NANCY,OGC NICE,RENNES,Evian TG,TROYES,FCSM
5,OM,OL,FC LORIENT,PARIS SG,BORDEAUX,VAFC,TOULOUSE FC,REIMS,ASSE,OGC NICE,LOSC,SC BASTIA,BREST,AC AJACCIO,Evian TG,MONTPELLIER,NANCY,RENNES,FCSM,TROYES
6,OM,OL,PARIS SG,FC LORIENT,REIMS,BORDEAUX,TOULOUSE FC,BREST,VAFC,ASSE,OGC NICE,LOSC,AC AJACCIO,FCSM,SC BASTIA,MONTPELLIER,Evian TG,RENNES,NANCY,TROYES
7,OM,PARIS SG,OL,FC LORIENT,BORDEAUX,TOULOUSE FC,VAFC,REIMS,AC AJACCIO,BREST,ASSE,OGC NICE,MONTPELLIER,RENNES,LOSC,SC BASTIA,FCSM,Evian TG,NANCY,TROYES
8,OM,PARIS SG,OL,FC LORIENT,REIMS,BORDEAUX,TOULOUSE FC,VAFC,ASSE,LOSC,RENNES,BREST,SC BASTIA,AC AJACCIO,MONTPELLIER,OGC NICE,Evian TG,FCSM,NANCY,TROYES
9,PARIS SG,OM,OL,TOULOUSE FC,VAFC,BORDEAUX,REIMS,FC LORIENT,RENNES,ASSE,LOSC,SC BASTIA,AC AJACCIO,BREST,OGC NICE,MONTPELLIER,Evian TG,FCSM,TROYES,NANCY
10,PARIS SG,OL,TOULOUSE FC,OM,ASSE,VAFC,REIMS,BORDEAUX,FC LORIENT,LOSC,SC BASTIA,RENNES,MONTPELLIER,AC AJACCIO,FCSM,BREST,OGC NICE,Evian TG,TROYES,NANCY
