leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PARIS SG,1,0,1,0,2,2,0
2,VAFC,4,1,1,0,1,0,1
3,NANCY,4,1,1,1,2,2,0
4,SC BASTIA,6,2,0,2,7,9,-2
5,ASSE,6,2,0,3,9,5,4
6,VAFC,8,2,2,2,7,5,2
7,AC AJACCIO,9,3,2,2,6,7,-1
8,ASSE,11,3,2,3,14,6,8
9,RENNES,13,4,1,4,12,12,0
10,FC LORIENT,15,3,6,1,19,19,0
11,RENNES,16,5,1,5,13,14,-1
12,RENNES,19,6,1,5,16,15,1
13,TOULOUSE FC,19,5,4,4,20,16,4
14,LOSC,20,5,5,4,16,15,1
15,OGC NICE,22,5,7,3,21,20,1
16,TOULOUSE FC,23,6,5,5,23,17,6
17,RENNES,26,8,2,7,23,22,1
18,MONTPELLIER,26,7,5,6,28,20,8
19,OGC NICE,29,7,8,4,26,26,0
20,MONTPELLIER,29,8,5,7,31,24,7
21,TOULOUSE FC,30,8,6,7,29,23,6
22,MONTPELLIER,32,9,5,8,35,27,8
23,FC LORIENT,35,9,8,6,38,37,1
24,MONTPELLIER,35,10,5,9,39,32,7
25,BORDEAUX,38,9,11,5,26,20,6
26,FC LORIENT,39,10,9,7,42,42,0
27,FC LORIENT,40,10,10,7,43,43,0
28,BORDEAUX,41,10,11,7,28,24,4
29,BORDEAUX,42,10,12,7,28,24,4
30,BORDEAUX,43,10,13,7,29,25,4
31,BORDEAUX,43,10,13,8,29,26,3
32,BORDEAUX,46,11,13,8,33,28,5
33,BORDEAUX,47,11,14,8,35,30,5
34,BORDEAUX,48,11,15,8,35,30,5
35,BORDEAUX,49,11,16,8,35,30,5
36,MONTPELLIER,51,15,6,15,54,49,5
37,BORDEAUX,52,12,16,9,38,33,5
38,MONTPELLIER,52,15,7,16,54,51,3
