leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PARIS FC,VAFC,FCSM,TROYES,CHÂTEAUROUX,USL DUNKERQUE,NIORT,RODEZ AF,AMIENS SC,CLERMONT,SM CAEN,AC AJACCIO,EA GUINGAMP,TOULOUSE FC,GRENOBLE,NANCY,AJ AUXERRE,HAVRE AC,FC CHAMBLY,PAU FC
2,PARIS FC,FCSM,NIORT,USL DUNKERQUE,RODEZ AF,SM CAEN,VAFC,GRENOBLE,TROYES,CHÂTEAUROUX,AMIENS SC,AJ AUXERRE,HAVRE AC,CLERMONT,EA GUINGAMP,NANCY,FC CHAMBLY,PAU FC,AC AJACCIO,TOULOUSE FC
3,PARIS FC,SM CAEN,FCSM,NIORT,TROYES,VAFC,GRENOBLE,HAVRE AC,CLERMONT,USL DUNKERQUE,RODEZ AF,CHÂTEAUROUX,AMIENS SC,AC AJACCIO,AJ AUXERRE,NANCY,TOULOUSE FC,EA GUINGAMP,FC CHAMBLY,PAU FC
4,NIORT,GRENOBLE,PARIS FC,SM CAEN,FCSM,USL DUNKERQUE,TROYES,VAFC,CLERMONT,HAVRE AC,AJ AUXERRE,RODEZ AF,NANCY,CHÂTEAUROUX,AMIENS SC,EA GUINGAMP,AC AJACCIO,TOULOUSE FC,FC CHAMBLY,PAU FC
5,NIORT,PARIS FC,GRENOBLE,FCSM,TROYES,VAFC,HAVRE AC,SM CAEN,RODEZ AF,USL DUNKERQUE,EA GUINGAMP,CLERMONT,AJ AUXERRE,TOULOUSE FC,AMIENS SC,FC CHAMBLY,NANCY,CHÂTEAUROUX,AC AJACCIO,PAU FC
6,PARIS FC,GRENOBLE,FCSM,SM CAEN,NIORT,TROYES,USL DUNKERQUE,CLERMONT,AJ AUXERRE,VAFC,HAVRE AC,RODEZ AF,CHÂTEAUROUX,EA GUINGAMP,TOULOUSE FC,NANCY,AMIENS SC,FC CHAMBLY,AC AJACCIO,PAU FC
7,PARIS FC,NIORT,FCSM,TROYES,CLERMONT,GRENOBLE,SM CAEN,VAFC,EA GUINGAMP,USL DUNKERQUE,HAVRE AC,TOULOUSE FC,AJ AUXERRE,NANCY,CHÂTEAUROUX,AMIENS SC,RODEZ AF,FC CHAMBLY,AC AJACCIO,PAU FC
8,PARIS FC,GRENOBLE,TROYES,SM CAEN,NIORT,FCSM,HAVRE AC,CLERMONT,AJ AUXERRE,TOULOUSE FC,VAFC,AMIENS SC,EA GUINGAMP,USL DUNKERQUE,CHÂTEAUROUX,NANCY,RODEZ AF,AC AJACCIO,PAU FC,FC CHAMBLY
9,PARIS FC,TROYES,GRENOBLE,HAVRE AC,CLERMONT,TOULOUSE FC,NIORT,FCSM,SM CAEN,AJ AUXERRE,USL DUNKERQUE,NANCY,AMIENS SC,EA GUINGAMP,VAFC,RODEZ AF,CHÂTEAUROUX,AC AJACCIO,PAU FC,FC CHAMBLY
10,PARIS FC,GRENOBLE,TROYES,NIORT,SM CAEN,CLERMONT,AJ AUXERRE,HAVRE AC,TOULOUSE FC,FCSM,VAFC,USL DUNKERQUE,EA GUINGAMP,NANCY,AMIENS SC,AC AJACCIO,PAU FC,RODEZ AF,CHÂTEAUROUX,FC CHAMBLY
11,PARIS FC,GRENOBLE,TROYES,SM CAEN,AJ AUXERRE,NIORT,CLERMONT,TOULOUSE FC,USL DUNKERQUE,HAVRE AC,VAFC,FCSM,EA GUINGAMP,AMIENS SC,NANCY,CHÂTEAUROUX,AC AJACCIO,RODEZ AF,PAU FC,FC CHAMBLY
