leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,PFC,VAFC,FCSM,ESTAC,LBC,USLD,CNFC,RAF,ASC,CF63,SMC,ACA,EAG,TFC,GF38,ASNL,AJA,HAC,FCCO,PAUFC
2,PFC,FCSM,CNFC,USLD,RAF,SMC,VAFC,GF38,ESTAC,LBC,ASC,AJA,HAC,CF63,EAG,ASNL,FCCO,PAUFC,ACA,TFC
3,PFC,SMC,FCSM,CNFC,ESTAC,VAFC,GF38,HAC,CF63,USLD,RAF,LBC,ASC,ACA,AJA,ASNL,TFC,EAG,FCCO,PAUFC
4,CNFC,GF38,PFC,SMC,FCSM,USLD,ESTAC,VAFC,CF63,HAC,AJA,RAF,ASNL,LBC,ASC,EAG,ACA,TFC,FCCO,PAUFC
5,CNFC,PFC,GF38,FCSM,ESTAC,VAFC,HAC,SMC,RAF,USLD,EAG,CF63,AJA,TFC,ASC,FCCO,ASNL,LBC,ACA,PAUFC
6,PFC,GF38,FCSM,SMC,CNFC,ESTAC,USLD,CF63,AJA,VAFC,HAC,RAF,LBC,EAG,TFC,ASNL,ASC,FCCO,ACA,PAUFC
7,PFC,CNFC,FCSM,ESTAC,CF63,GF38,SMC,VAFC,EAG,USLD,HAC,TFC,AJA,ASNL,LBC,ASC,RAF,FCCO,ACA,PAUFC
8,PFC,GF38,ESTAC,SMC,CNFC,FCSM,HAC,CF63,AJA,TFC,VAFC,ASC,EAG,USLD,LBC,ASNL,RAF,ACA,PAUFC,FCCO
9,PFC,ESTAC,GF38,HAC,CF63,TFC,CNFC,FCSM,SMC,AJA,USLD,ASNL,ASC,EAG,VAFC,RAF,LBC,ACA,PAUFC,FCCO
10,PFC,GF38,ESTAC,CNFC,SMC,CF63,AJA,HAC,TFC,FCSM,VAFC,USLD,EAG,ASNL,ASC,ACA,PAUFC,RAF,LBC,FCCO
11,PFC,GF38,ESTAC,SMC,AJA,CNFC,CF63,TFC,USLD,HAC,VAFC,FCSM,EAG,ASC,ASNL,LBC,ACA,RAF,PAUFC,FCCO
12,PFC,ESTAC,GF38,SMC,CF63,AJA,TFC,CNFC,FCSM,USLD,VAFC,HAC,EAG,ASC,LBC,ACA,ASNL,RAF,PAUFC,FCCO
13,ESTAC,PFC,GF38,TFC,AJA,CNFC,SMC,CF63,FCSM,VAFC,USLD,HAC,ASC,EAG,PAUFC,ACA,LBC,ASNL,RAF,FCCO
14,ESTAC,GF38,PFC,AJA,CF63,TFC,SMC,CNFC,VAFC,USLD,FCSM,ASC,HAC,EAG,ACA,PAUFC,ASNL,LBC,RAF,FCCO
15,ESTAC,GF38,PFC,TFC,AJA,CF63,CNFC,SMC,VAFC,FCSM,USLD,ASC,HAC,EAG,PAUFC,ACA,ASNL,LBC,RAF,FCCO
16,ESTAC,GF38,TFC,AJA,PFC,CF63,SMC,CNFC,ASC,FCSM,VAFC,USLD,HAC,ACA,EAG,FCCO,PAUFC,ASNL,LBC,RAF
17,GF38,ESTAC,TFC,AJA,PFC,CF63,SMC,FCSM,VAFC,CNFC,ASC,USLD,HAC,ACA,EAG,FCCO,ASNL,PAUFC,RAF,LBC
18,ESTAC,TFC,GF38,CF63,AJA,PFC,FCSM,SMC,CNFC,ASC,VAFC,HAC,ACA,USLD,ASNL,EAG,FCCO,RAF,PAUFC,LBC
19,ESTAC,TFC,GF38,CF63,AJA,PFC,FCSM,SMC,ASC,VAFC,CNFC,HAC,ACA,USLD,EAG,FCCO,ASNL,RAF,PAUFC,LBC
20,ESTAC,TFC,CF63,AJA,GF38,PFC,VAFC,FCSM,ASC,SMC,CNFC,ACA,HAC,EAG,USLD,FCCO,ASNL,RAF,PAUFC,LBC
21,ESTAC,TFC,CF63,GF38,AJA,PFC,VAFC,FCSM,ASC,SMC,CNFC,HAC,ACA,USLD,EAG,RAF,ASNL,FCCO,LBC,PAUFC
22,ESTAC,TFC,CF63,GF38,AJA,PFC,VAFC,ASC,FCSM,SMC,ACA,CNFC,HAC,USLD,FCCO,RAF,EAG,ASNL,PAUFC,LBC
23,ESTAC,TFC,CF63,GF38,AJA,PFC,VAFC,ASC,ACA,FCSM,SMC,CNFC,HAC,USLD,RAF,FCCO,ASNL,EAG,PAUFC,LBC
24,ESTAC,TFC,GF38,CF63,AJA,PFC,VAFC,FCSM,ASC,ACA,SMC,HAC,CNFC,RAF,USLD,ASNL,EAG,FCCO,PAUFC,LBC
25,ESTAC,TFC,CF63,GF38,AJA,PFC,FCSM,VAFC,ASC,SMC,HAC,ACA,CNFC,ASNL,RAF,USLD,EAG,FCCO,PAUFC,LBC
26,ESTAC,CF63,TFC,GF38,AJA,PFC,FCSM,VAFC,SMC,HAC,ASC,CNFC,ACA,RAF,ASNL,USLD,EAG,FCCO,PAUFC,LBC
27,ESTAC,CF63,TFC,GF38,AJA,PFC,FCSM,VAFC,SMC,HAC,CNFC,ASC,RAF,ACA,ASNL,USLD,EAG,PAUFC,FCCO,LBC
28,ESTAC,CF63,TFC,GF38,PFC,AJA,FCSM,VAFC,ACA,ASNL,ASC,SMC,HAC,CNFC,RAF,USLD,PAUFC,EAG,FCCO,LBC
29,ESTAC,CF63,TFC,GF38,PFC,AJA,FCSM,VAFC,ASNL,HAC,RAF,ACA,ASC,SMC,CNFC,USLD,EAG,PAUFC,FCCO,LBC
30,CF63,ESTAC,TFC,GF38,PFC,AJA,FCSM,ASNL,VAFC,RAF,ASC,HAC,CNFC,SMC,ACA,PAUFC,USLD,EAG,FCCO,LBC
31,ESTAC,CF63,TFC,GF38,PFC,AJA,FCSM,ASNL,VAFC,RAF,ASC,ACA,HAC,CNFC,SMC,PAUFC,USLD,EAG,FCCO,LBC
32,ESTAC,CF63,TFC,GF38,PFC,AJA,FCSM,VAFC,ASNL,ASC,ACA,HAC,RAF,CNFC,SMC,PAUFC,USLD,EAG,FCCO,LBC
33,ESTAC,TFC,CF63,GF38,PFC,AJA,FCSM,VAFC,ACA,ASNL,ASC,HAC,RAF,CNFC,PAUFC,USLD,SMC,EAG,FCCO,LBC
34,ESTAC,TFC,CF63,GF38,PFC,AJA,FCSM,ASNL,ASC,VAFC,ACA,RAF,HAC,PAUFC,CNFC,EAG,USLD,SMC,FCCO,LBC
