leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,FCSM,3,1,0,0,2,0,2
2,NIORT,4,1,1,0,2,1,1
3,FCSM,7,2,1,0,4,1,3
4,PARIS FC,9,3,0,1,6,3,3
5,GRENOBLE,9,3,0,2,9,6,3
6,FCSM,12,3,3,0,10,6,4
7,FCSM,13,3,4,0,10,6,4
8,TROYES,14,4,2,2,9,5,4
9,GRENOBLE,16,5,1,3,12,7,5
10,TROYES,18,5,3,2,15,7,8
11,TROYES,21,6,3,2,18,9,9
12,GRENOBLE,23,7,2,3,16,8,8
13,GRENOBLE,26,8,2,3,17,8,9
14,PARIS FC,27,8,3,3,19,12,7
15,PARIS FC,28,8,4,3,20,13,7
16,TOULOUSE FC,29,8,5,3,31,21,10
17,TOULOUSE FC,32,9,5,3,34,21,13
18,GRENOBLE,34,10,4,4,25,13,12
19,GRENOBLE,35,10,5,4,27,15,12
20,CLERMONT,37,10,7,3,30,10,20
21,CLERMONT,40,11,7,3,31,10,21
22,CLERMONT,40,11,7,4,33,13,20
23,CLERMONT,43,12,7,4,35,14,21
24,GRENOBLE,44,13,5,6,33,20,13
25,CLERMONT,46,13,7,5,36,16,20
26,TOULOUSE FC,49,14,7,5,48,30,18
27,TOULOUSE FC,52,15,7,5,51,30,21
28,TOULOUSE FC,52,15,7,6,51,31,20
29,TOULOUSE FC,55,16,7,6,55,31,24
30,TOULOUSE FC,55,16,7,7,55,32,23
31,TOULOUSE FC,58,17,7,7,59,33,26
32,TOULOUSE FC,59,17,8,7,60,34,26
33,CLERMONT,60,17,9,7,52,20,32
34,CLERMONT,63,18,9,7,53,20,33
35,TOULOUSE FC,66,19,9,7,64,36,28
36,TOULOUSE FC,66,19,9,8,65,39,26
37,TOULOUSE FC,69,20,9,8,68,39,29
38,TOULOUSE FC,70,20,10,8,71,42,29
