leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,1,0,1
2,PSG,3,1,0,1,2,1,1
3,PSG,4,1,1,1,4,3,1
4,PSG,6,2,0,2,9,9,0
5,PSG,7,2,1,2,3,5,-2
6,PSG,8,2,2,2,13,13,0
7,PSG,10,3,1,3,10,11,-1
8,PSG,10,2,4,2,10,11,-1
9,PSG,11,3,2,4,11,12,-1
10,PSG,12,3,3,4,12,13,-1
11,PSG,14,4,2,5,8,14,-6
12,PSG,15,4,3,5,19,17,2
13,PSG,16,4,4,5,20,18,2
14,PSG,17,4,5,5,21,19,2
15,PSG,20,5,5,5,22,20,2
16,PSG,21,5,6,5,19,19,0
17,PSG,23,5,8,4,27,21,6
18,PSG,24,6,6,6,21,21,0
19,PSG,26,7,5,7,27,28,-1
20,PSG,29,8,5,7,30,29,1
21,PSG,29,8,5,8,30,30,0
22,PSG,30,8,6,8,30,31,-1
23,PSG,33,9,6,8,31,31,0
24,PSG,35,8,11,5,21,22,-1
25,PSG,36,10,6,9,37,35,2
26,PSG,37,10,7,9,19,27,-8
27,PSG,37,9,10,8,41,31,10
28,PSG,39,11,6,11,41,41,0
29,PSG,40,11,7,11,43,43,0
30,PSG,41,11,8,11,40,40,0
31,PSG,43,12,7,12,46,45,1
32,PSG,43,11,10,11,43,43,0
33,PSG,44,10,14,9,55,43,12
34,PSG,45,10,15,9,55,43,12
35,PSG,46,10,16,9,56,44,12
36,PSG,47,13,8,15,47,46,1
37,PSG,49,12,13,12,52,51,1
38,PSG,52,13,13,12,55,52,3
