leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,3,1,2
2,PSG,6,2,0,0,4,1,3
3,PSG,7,2,1,0,6,1,5
4,PSG,9,3,0,1,5,6,-1
5,PSG,10,3,1,1,9,4,5
6,PSG,11,3,2,1,6,4,2
7,PSG,13,4,1,2,19,13,6
8,PSG,15,4,3,1,11,6,5
9,PSG,16,5,1,3,21,16,5
10,PSG,19,5,4,1,14,7,7
11,PSG,22,6,4,1,17,7,10
12,PSG,25,8,1,3,21,10,11
13,PSG,25,7,4,2,20,8,12
14,PSG,26,7,5,2,22,10,12
15,PSG,28,8,4,3,26,18,8
16,PSG,29,8,5,3,24,12,12
17,PSG,29,8,5,4,25,17,8
18,PSG,32,9,5,4,31,22,9
19,PSG,33,9,6,4,32,23,9
20,PSG,36,10,6,4,31,23,8
21,PSG,37,10,7,4,35,25,10
22,PSG,40,11,7,4,36,25,11
23,PSG,43,12,7,4,38,26,12
24,PSG,43,12,7,5,38,27,11
25,PSG,46,13,7,5,40,28,12
26,PSG,46,13,7,6,40,30,10
27,PSG,49,14,7,6,45,31,14
28,PSG,50,14,8,6,47,33,14
29,PSG,53,15,8,6,50,35,15
30,PSG,56,16,8,6,51,35,16
31,PSG,56,16,8,7,52,38,14
32,PSG,56,16,8,8,53,40,13
33,PSG,59,17,8,8,55,41,14
34,PSG,62,18,8,8,58,43,15
35,PSG,63,18,9,8,60,45,15
36,PSG,66,19,9,8,63,45,18
37,PSG,69,20,9,8,67,45,22
38,PSG,72,21,9,8,70,47,23
