leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,4,0,4
2,PSG,6,2,0,0,6,1,5
3,PSG,9,3,0,0,9,2,7
4,PSG,12,4,0,0,13,4,9
5,PSG,15,5,0,0,17,4,13
6,PSG,18,6,0,0,20,5,15
7,PSG,21,7,0,0,24,6,18
8,PSG,24,8,0,0,27,6,21
9,PSG,27,9,0,0,32,6,26
10,PSG,30,10,0,0,37,6,31
11,PSG,33,11,0,0,39,6,33
12,PSG,36,12,0,0,41,7,34
13,PSG,39,13,0,0,45,7,38
14,PSG,42,14,0,0,46,7,39
15,PSG,43,14,1,0,48,9,39
16,PSG,44,14,2,0,49,10,39
17,PSG,47,15,2,0,54,11,43
18,PSG,50,16,2,0,58,11,47
19,PSG,53,17,2,0,59,11,48
20,PSG,56,18,2,0,62,11,51
21,PSG,59,19,2,0,71,11,60
22,PSG,62,20,2,0,75,12,63
23,PSG,62,20,2,1,76,14,62
24,PSG,65,21,2,1,77,14,63
25,PSG,68,22,2,1,78,14,64
26,PSG,71,23,2,1,81,14,67
27,PSG,74,24,2,1,83,15,68
28,PSG,74,24,2,2,85,18,67
29,PSG,77,25,2,2,88,19,69
30,PSG,80,26,2,2,89,19,70
31,PSG,81,26,3,2,91,21,70
32,PSG,81,26,3,3,92,26,66
33,PSG,84,27,3,3,95,27,68
34,PSG,84,27,3,4,97,30,67
35,PSG,85,27,4,4,98,31,67
36,PSG,88,28,4,4,100,32,68
37,PSG,91,29,4,4,104,32,72
38,PSG,91,29,4,5,105,35,70
