leagueMatchNb,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
1,OM,PARIS SG,AS MONACO,LOSC,STRASBOURG,OL,NÎMES,DIJON FCO,ASSE,REIMS,ANGERS SCO,EA GUINGAMP,MONTPELLIER,OGC NICE,RENNES,FC NANTES,AMIENS SC,BORDEAUX,SM CAEN,TOULOUSE FC
2,PARIS SG,NÎMES,DIJON FCO,REIMS,AS MONACO,STRASBOURG,LOSC,ASSE,OM,OL,MONTPELLIER,RENNES,TOULOUSE FC,OGC NICE,SM CAEN,ANGERS SCO,EA GUINGAMP,BORDEAUX,AMIENS SC,FC NANTES
3,PARIS SG,DIJON FCO,LOSC,OL,NÎMES,REIMS,TOULOUSE FC,ASSE,OM,AS MONACO,STRASBOURG,MONTPELLIER,RENNES,AMIENS SC,BORDEAUX,SM CAEN,FC NANTES,OGC NICE,ANGERS SCO,EA GUINGAMP
4,PARIS SG,DIJON FCO,TOULOUSE FC,LOSC,OM,RENNES,MONTPELLIER,OL,ASSE,NÎMES,REIMS,SM CAEN,AS MONACO,AMIENS SC,STRASBOURG,FC NANTES,OGC NICE,ANGERS SCO,BORDEAUX,EA GUINGAMP
5,PARIS SG,OM,LOSC,TOULOUSE FC,DIJON FCO,MONTPELLIER,OL,NÎMES,RENNES,REIMS,OGC NICE,ANGERS SCO,SM CAEN,ASSE,AS MONACO,STRASBOURG,FC NANTES,AMIENS SC,BORDEAUX,EA GUINGAMP
6,PARIS SG,LOSC,MONTPELLIER,TOULOUSE FC,OM,OL,DIJON FCO,ASSE,STRASBOURG,NÎMES,REIMS,ANGERS SCO,RENNES,BORDEAUX,OGC NICE,AS MONACO,SM CAEN,FC NANTES,AMIENS SC,EA GUINGAMP
7,PARIS SG,OL,OM,LOSC,MONTPELLIER,ASSE,TOULOUSE FC,ANGERS SCO,DIJON FCO,BORDEAUX,OGC NICE,NÎMES,STRASBOURG,REIMS,AMIENS SC,SM CAEN,RENNES,AS MONACO,FC NANTES,EA GUINGAMP
8,PARIS SG,LOSC,MONTPELLIER,ASSE,OL,OM,TOULOUSE FC,STRASBOURG,BORDEAUX,SM CAEN,ANGERS SCO,DIJON FCO,OGC NICE,NÎMES,REIMS,RENNES,AMIENS SC,AS MONACO,FC NANTES,EA GUINGAMP
9,PARIS SG,LOSC,OM,MONTPELLIER,ASSE,OL,BORDEAUX,TOULOUSE FC,STRASBOURG,ANGERS SCO,RENNES,OGC NICE,AMIENS SC,NÎMES,SM CAEN,DIJON FCO,REIMS,AS MONACO,FC NANTES,EA GUINGAMP
10,PARIS SG,LOSC,MONTPELLIER,OM,OL,ASSE,STRASBOURG,BORDEAUX,TOULOUSE FC,ANGERS SCO,RENNES,SM CAEN,REIMS,OGC NICE,NÎMES,DIJON FCO,AMIENS SC,FC NANTES,AS MONACO,EA GUINGAMP
11,PARIS SG,LOSC,MONTPELLIER,OL,OM,ASSE,STRASBOURG,BORDEAUX,REIMS,OGC NICE,TOULOUSE FC,ANGERS SCO,FC NANTES,RENNES,SM CAEN,NÎMES,DIJON FCO,AMIENS SC,AS MONACO,EA GUINGAMP
12,PARIS SG,MONTPELLIER,LOSC,OL,ASSE,OM,STRASBOURG,REIMS,OGC NICE,FC NANTES,BORDEAUX,RENNES,NÎMES,TOULOUSE FC,ANGERS SCO,SM CAEN,DIJON FCO,AMIENS SC,AS MONACO,EA GUINGAMP
13,PARIS SG,LOSC,MONTPELLIER,OL,ASSE,OM,OGC NICE,STRASBOURG,REIMS,FC NANTES,BORDEAUX,RENNES,ANGERS SCO,NÎMES,TOULOUSE FC,AMIENS SC,SM CAEN,DIJON FCO,AS MONACO,EA GUINGAMP
14,PARIS SG,OL,MONTPELLIER,LOSC,OM,ASSE,OGC NICE,REIMS,STRASBOURG,FC NANTES,NÎMES,BORDEAUX,RENNES,ANGERS SCO,TOULOUSE FC,AMIENS SC,SM CAEN,DIJON FCO,AS MONACO,EA GUINGAMP
15,PARIS SG,MONTPELLIER,OL,LOSC,OM,ASSE,OGC NICE,STRASBOURG,REIMS,NÎMES,BORDEAUX,FC NANTES,ANGERS SCO,RENNES,TOULOUSE FC,SM CAEN,DIJON FCO,AMIENS SC,AS MONACO,EA GUINGAMP
16,PARIS SG,LOSC,MONTPELLIER,OL,OM,ASSE,OGC NICE,NÎMES,STRASBOURG,BORDEAUX,REIMS,FC NANTES,RENNES,ANGERS SCO,TOULOUSE FC,DIJON FCO,SM CAEN,AS MONACO,AMIENS SC,EA GUINGAMP
17,PARIS SG,LOSC,MONTPELLIER,OL,ASSE,NÎMES,OM,OGC NICE,BORDEAUX,STRASBOURG,RENNES,REIMS,FC NANTES,TOULOUSE FC,ANGERS SCO,DIJON FCO,AMIENS SC,SM CAEN,AS MONACO,EA GUINGAMP
18,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,NÎMES,REIMS,BORDEAUX,STRASBOURG,FC NANTES,RENNES,ANGERS SCO,TOULOUSE FC,SM CAEN,AMIENS SC,DIJON FCO,AS MONACO,EA GUINGAMP
19,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,STRASBOURG,RENNES,NÎMES,REIMS,BORDEAUX,FC NANTES,TOULOUSE FC,ANGERS SCO,SM CAEN,AMIENS SC,DIJON FCO,AS MONACO,EA GUINGAMP
20,PARIS SG,LOSC,ASSE,OL,MONTPELLIER,OM,OGC NICE,STRASBOURG,RENNES,NÎMES,REIMS,BORDEAUX,FC NANTES,TOULOUSE FC,ANGERS SCO,SM CAEN,AMIENS SC,DIJON FCO,AS MONACO,EA GUINGAMP
21,PARIS SG,LOSC,OL,ASSE,OM,STRASBOURG,MONTPELLIER,OGC NICE,RENNES,NÎMES,BORDEAUX,REIMS,TOULOUSE FC,FC NANTES,ANGERS SCO,SM CAEN,AMIENS SC,DIJON FCO,AS MONACO,EA GUINGAMP
22,PARIS SG,LOSC,OL,ASSE,STRASBOURG,MONTPELLIER,OM,OGC NICE,REIMS,RENNES,NÎMES,BORDEAUX,TOULOUSE FC,FC NANTES,ANGERS SCO,DIJON FCO,SM CAEN,AMIENS SC,AS MONACO,EA GUINGAMP
23,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,STRASBOURG,OM,REIMS,OGC NICE,RENNES,NÎMES,BORDEAUX,FC NANTES,ANGERS SCO,TOULOUSE FC,DIJON FCO,SM CAEN,AS MONACO,AMIENS SC,EA GUINGAMP
24,PARIS SG,LOSC,OL,ASSE,MONTPELLIER,OM,OGC NICE,RENNES,STRASBOURG,REIMS,NÎMES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AMIENS SC,DIJON FCO,AS MONACO,SM CAEN,EA GUINGAMP
25,PARIS SG,LOSC,OL,OM,ASSE,MONTPELLIER,REIMS,OGC NICE,STRASBOURG,NÎMES,RENNES,ANGERS SCO,BORDEAUX,FC NANTES,TOULOUSE FC,AS MONACO,AMIENS SC,DIJON FCO,SM CAEN,EA GUINGAMP
