leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,PARIS SG,3,1,0,0,3,0,3
2,NÎMES,6,2,0,0,7,4,3
3,DIJON FCO,9,3,0,0,8,1,7
4,DIJON FCO,9,3,0,1,8,3,5
5,OM,10,3,1,1,14,7,7
6,LOSC,13,4,1,1,11,5,6
7,OL,13,4,1,2,13,6,7
8,LOSC,16,5,1,2,14,6,8
9,LOSC,19,6,1,2,17,7,10
10,LOSC,22,7,1,2,19,8,11
11,LOSC,25,8,1,2,20,8,12
12,MONTPELLIER,25,7,4,1,20,7,13
13,LOSC,26,8,2,3,21,10,11
14,OL,27,8,3,3,24,16,8
15,MONTPELLIER,29,8,5,2,24,11,13
16,LOSC,30,9,3,4,24,14,10
17,LOSC,31,9,4,4,25,15,10
18,LOSC,34,10,4,4,28,17,11
19,LOSC,34,10,4,5,29,19,10
20,LOSC,37,11,4,5,32,20,12
21,LOSC,40,12,4,5,34,21,13
22,LOSC,43,13,4,5,36,22,14
23,LOSC,46,14,4,5,40,22,18
24,LOSC,49,15,4,5,42,22,20
25,LOSC,50,15,5,5,42,22,20
26,LOSC,51,15,6,5,43,23,20
27,LOSC,54,16,6,5,44,23,21
28,LOSC,57,17,6,5,45,23,22
29,LOSC,57,17,6,6,45,24,21
30,LOSC,60,18,6,6,48,26,22
31,LOSC,61,18,7,6,49,27,22
32,LOSC,64,19,7,6,54,28,26
33,LOSC,65,19,8,6,54,28,26
34,LOSC,68,20,8,6,59,28,31
35,LOSC,69,20,9,6,61,30,31
36,LOSC,72,21,9,6,62,30,32
37,LOSC,75,22,9,6,67,30,37
38,LOSC,75,22,9,7,68,33,35
