leagueMatchNb,teamName,points,wins,draws,loses,goalsFor,goalsAgainst,goalsDiff
1,OM,3,1,0,0,3,0,3
2,PSG,6,2,0,0,7,4,3
3,PSG,9,3,0,0,8,1,7
4,PSG,9,3,0,1,8,3,5
5,PSG,10,3,1,1,14,7,7
6,PSG,13,4,1,1,11,5,6
7,PSG,13,4,1,2,13,6,7
8,PSG,16,5,1,2,14,6,8
9,PSG,19,6,1,2,17,7,10
10,PSG,22,7,1,2,19,8,11
11,PSG,25,8,1,2,20,8,12
12,PSG,25,7,4,1,20,7,13
13,PSG,26,8,2,3,21,10,11
14,PSG,27,8,3,3,24,16,8
15,PSG,29,8,5,2,24,11,13
16,PSG,30,9,3,4,24,14,10
17,PSG,31,9,4,4,25,15,10
18,PSG,34,10,4,4,28,17,11
19,PSG,34,10,4,5,29,19,10
20,PSG,37,11,4,5,32,20,12
21,PSG,40,12,4,5,34,21,13
22,PSG,43,13,4,5,36,22,14
23,PSG,46,14,4,5,40,22,18
24,PSG,49,15,4,5,42,22,20
25,PSG,50,15,5,5,42,22,20
26,PSG,51,15,6,5,43,23,20
27,PSG,54,16,6,5,44,23,21
28,PSG,57,17,6,5,45,23,22
29,PSG,57,17,6,6,45,24,21
30,PSG,60,18,6,6,48,26,22
31,PSG,61,18,7,6,49,27,22
32,PSG,64,19,7,6,54,28,26
33,PSG,65,19,8,6,54,28,26
34,PSG,68,20,8,6,59,28,31
35,PSG,69,20,9,6,61,30,31
36,PSG,72,21,9,6,62,30,32
37,PSG,75,22,9,6,67,30,37
38,PSG,75,22,9,7,68,33,35
